lila_lemma	lila_inftype	inftype_qid
lemma/95576	v1r	Q331
lemma/97111	v4r	Q335
lemma/97948	v1r	Q331
lemma/98287	v5r	Q336
lemma/98338	v4r	Q335
lemma/99467	v1r	Q331
lemma/99664	v3r	Q334
lemma/101788	v1r	Q331
lemma/101829	v5r	Q336
lemma/102747	v1d	Q330
lemma/102986	v4d	Q340
lemma/104694	v4r	Q335
lemma/105355	v1r	Q331
lemma/108871	v1r	Q331
lemma/110780	v1r	Q331
lemma/111856	v1r	Q331
lemma/111857	v3r	Q334
lemma/113283	v5r	Q336
lemma/114176	v1d	Q330
lemma/115101	v3r	Q334
lemma/117047	v1r	Q331
lemma/117074	v2r	Q332
lemma/117861	v6r	Q337
lemma/118886	v6r	Q337
lemma/119038	v1d	Q330
lemma/119043	v4r	Q335
lemma/119730	v5r	Q336
lemma/119906	v1r	Q331
lemma/122819	v1r	Q331
lemma/126315	v1r	Q331
lemma/126946	v3r	Q334
lemma/128165	v1r	Q331
lemma/134583	v1r	Q331
lemma/136219	v1r	Q331
lemma/141800	v1r	Q331
lemma/26369	v4r	Q335
lemma/26473	v3r	Q334
lemma/26495	v1r	Q331
lemma/29423	v1r	Q331
lemma/29807	v1r	Q331
lemma/31200	v1r	Q331
lemma/32174	v1r	Q331
lemma/34909	v1r	Q331
lemma/40601	v1r	Q331
lemma/46979	v1r	Q331
lemma/52970	v1r	Q331
lemma/73209	v1d	Q330
lemma/74127	v4r	Q335
lemma/75969	v1d	Q330
lemma/76371	v1r	Q331
lemma/76403	v3r	Q334
lemma/83934	v1r	Q331
lemma/89473	v1r	Q331
lemma/90993	v5r	Q336
lemma/91150	v1r	Q331
lemma/92144	v1r	Q331
lemma/93144	v1r	Q331
lemma/93159	v1r	Q331
lemma/94840	v1r	Q331
lemma/96464	v3r	Q334
lemma/98180	v1r	Q331
lemma/98231	v1r	Q331
lemma/98696	v3r	Q334
lemma/98700	v6r	Q337
lemma/100345	v6r	Q337
lemma/100381	v2r	Q332
lemma/101387	v3d	Q338
lemma/101388	v3r	Q334
lemma/101671	v3r	Q334
lemma/101722	v1r	Q331
lemma/102339	v3r	Q334
lemma/103371	v3r	Q334
lemma/103421	v1r	Q331
lemma/103716	v1r	Q331
lemma/103717	v2r	Q332
lemma/105769	v1r	Q331
lemma/106168	v1r	Q331
lemma/106277	v3r	Q334
lemma/112260	v3r	Q334
lemma/113568	v1r	Q331
lemma/114303	v1	Q344
lemma/116127	v5r	Q336
lemma/116671	v3r	Q334
lemma/117504	v1r	Q331
lemma/118755	v3r	Q334
lemma/119342	v3r	Q334
lemma/119375	v1r	Q331
lemma/119396	v1r	Q331
lemma/120387	v6r	Q337
lemma/122682	v3r	Q334
lemma/122698	v3r	Q334
lemma/122733	v2r	Q332
lemma/125779	v1d	Q330
lemma/126005	v1r	Q331
lemma/126613	v1r	Q331
lemma/127996	v1d	Q330
lemma/127997	v1r	Q331
lemma/128640	v3d	Q338
lemma/128890	v1r	Q331
lemma/130805	v2r	Q332
lemma/134992	v1r	Q331
lemma/137579	v1r	Q331
lemma/26111	v4r	Q335
lemma/26436	v1r	Q331
lemma/27376	v4r	Q335
lemma/27549	v1r	Q331
lemma/32583	v1r	Q331
lemma/32950	v1r	Q331
lemma/43510	v3r	Q334
lemma/43589	v1r	Q331
lemma/45453	v7e	Q343
lemma/46422	v1r	Q331
lemma/50418	v1r	Q331
lemma/50682	v3r	Q334
lemma/52211	v1r	Q331
lemma/58056	v1r	Q331
lemma/58796	v1r	Q331
lemma/58839	v1r	Q331
lemma/59128	v1r	Q331
lemma/59319	v1r	Q331
lemma/63252	v1d	Q330
lemma/64986	v3r	Q334
lemma/67477	v3e	Q339
lemma/67489	v1r	Q331
lemma/67790	v3r	Q334
lemma/70660	v1r	Q331
lemma/73618	v7e	Q343
lemma/75531	v3r	Q334
lemma/79283	v3r	Q334
lemma/81192	v1r	Q331
lemma/82450	v1r	Q331
lemma/83393	v1r	Q331
lemma/83475	v3r	Q334
lemma/83526	v3r	Q334
lemma/85821	v3r	Q334
lemma/87571	v4r	Q335
lemma/90641	v4r	Q335
lemma/93547	v3r	Q334
lemma/94062	v1d	Q330
lemma/94063	v1r	Q331
lemma/94113	v1r	Q331
lemma/94299	v1r	Q331
lemma/95199	v1r	Q331
lemma/95341	v2r	Q332
lemma/95616	v1r	Q331
lemma/95971	v3r	Q334
lemma/97189	v1r	Q331
lemma/97949	v1r	Q331
lemma/98339	v3r	Q334
lemma/100754	v1r	Q331
lemma/101174	v1r	Q331
lemma/101779	v1r	Q331
lemma/101789	v2r	Q332
lemma/102130	v6r	Q337
lemma/102156	v6r	Q337
lemma/102748	v1r	Q331
lemma/102985	v2d	Q347
lemma/108055	v4r	Q335
lemma/108126	v3r	Q334
lemma/108657	v1r	Q331
lemma/109191	v3r	Q334
lemma/110832	v1r	Q331
lemma/110939	v3r	Q334
lemma/113284	v3r	Q334
lemma/115102	v3r	Q334
lemma/116485	v1r	Q331
lemma/117048	v5r	Q336
lemma/117075	v4d	Q340
lemma/117862	v1r	Q331
lemma/119839	v2r	Q332
lemma/119856	v1r	Q331
lemma/122387	v1r	Q331
lemma/122466	v4r	Q335
lemma/123485	v1r	Q331
lemma/126947	v4r	Q335
lemma/126982	v1d	Q330
lemma/129859	v1r	Q331
lemma/135144	v1r	Q331
lemma/141765	v2r	Q332
lemma/141801	v3r	Q334
lemma/27683	v1r	Q331
lemma/28323	v1r	Q331
lemma/28941	v3r	Q334
lemma/30060	v1r	Q331
lemma/30697	v2r	Q332
lemma/30981	v1r	Q331
lemma/37841	v1r	Q331
lemma/46831	v1r	Q331
lemma/48855	v1r	Q331
lemma/49921	v1r	Q331
lemma/50433	v1r	Q331
lemma/50616	v1r	Q331
lemma/51299	v1r	Q331
lemma/54035	v1r	Q331
lemma/54765	v4r	Q335
lemma/55877	v1r	Q331
lemma/61797	v1r	Q331
lemma/67898	v1r	Q331
lemma/67949	v2r	Q332
lemma/69376	v1r	Q331
lemma/71557	v1r	Q331
lemma/73052	v3r	Q334
lemma/73651	v5r	Q336
lemma/75682	v3r	Q334
lemma/75726	v1r	Q331
lemma/81155	v1r	Q331
lemma/82228	v3r	Q334
lemma/82982	v1d	Q330
lemma/83067	v3r	Q334
lemma/83935	v1r	Q331
lemma/84171	v1r	Q331
lemma/89191	v5d	Q341
lemma/89233	v1r	Q331
lemma/89242	v1r	Q331
lemma/90854	v1r	Q331
lemma/91718	v1r	Q331
lemma/98181	v2e	Q352
lemma/98921	v1r	Q331
lemma/98956	v1r	Q331
lemma/99037	v2r	Q332
lemma/100346	v6r	Q337
lemma/100740	v3d	Q338
lemma/101723	v3r	Q334
lemma/103981	v3r	Q334
lemma/105770	v1r	Q331
lemma/106276	v2r	Q332
lemma/107632	v1r	Q331
lemma/108095	v1r	Q331
lemma/108753	v3r	Q334
lemma/110756	v1r	Q331
lemma/114304	v1r	Q331
lemma/114469	v1r	Q331
lemma/116694	v3r	Q334
lemma/116894	v1d	Q330
lemma/119344	v3r	Q334
lemma/119448	v1r	Q331
lemma/122683	v1r	Q331
lemma/122734	v3r	Q334
lemma/122990	v2r	Q332
lemma/123759	v1d	Q330
lemma/124163	v1r	Q331
lemma/125237	v3r	Q334
lemma/126008	v3r	Q334
lemma/127381	v1r	Q331
lemma/129250	v1r	Q331
lemma/136522	v1r	Q331
lemma/138000	v3r	Q334
lemma/142198	v1r	Q331
lemma/27406	v1r	Q331
lemma/28732	v1r	Q331
lemma/29298	v1r	Q331
lemma/31201	v1r	Q331
lemma/32209	v1r	Q331
lemma/32635	v1r	Q331
lemma/34169	v4r	Q335
lemma/42951	v1r	Q331
lemma/43159	v1r	Q331
lemma/43511	v1r	Q331
lemma/44077	v1r	Q331
lemma/44450	v1r	Q331
lemma/46423	v3r	Q334
lemma/46849	v1r	Q331
lemma/46890	v4r	Q335
lemma/47301	v1r	Q331
lemma/48008	v1r	Q331
lemma/48825	v3r	Q334
lemma/49692	v1r	Q331
lemma/52561	v1r	Q331
lemma/54444	v3r	Q334
lemma/57470	v3r	Q334
lemma/58682	v1r	Q331
lemma/59242	v1r	Q331
lemma/59477	v1r	Q331
lemma/59949	v1r	Q331
lemma/62227	v1r	Q331
lemma/63115	v3e	Q339
lemma/63742	v1r	Q331
lemma/63797	v4r	Q335
lemma/64905	v1r	Q331
lemma/65878	v1r	Q331
lemma/66000	v1r	Q331
lemma/67472	v1r	Q331
lemma/70762	v3r	Q334
lemma/72851	v3r	Q334
lemma/75350	v2r	Q332
lemma/75660	v1r	Q331
lemma/75914	v1r	Q331
lemma/76052	v1r	Q331
lemma/78775	v1r	Q331
lemma/84853	v1r	Q331
lemma/85878	v1r	Q331
lemma/86847	v2r	Q332
lemma/87356	v3r	Q334
lemma/87573	v1d	Q330
lemma/87574	v1r	Q331
lemma/87899	v1r	Q331
lemma/92120	v1r	Q331
lemma/92550	v1r	Q331
lemma/93122	v1r	Q331
lemma/93554	v1r	Q331
lemma/94114	v1r	Q331
lemma/94300	v4r	Q335
lemma/94423	v3r	Q334
lemma/95956	v1r	Q331
lemma/95962	v1d	Q330
lemma/95972	v3r	Q334
lemma/96007	v1d	Q330
lemma/96008	v1r	Q331
lemma/96925	v3r	Q334
lemma/98679	v3r	Q334
lemma/99666	v5r	Q336
lemma/100755	v1r	Q331
lemma/101756	v1r	Q331
lemma/101790	v3r	Q334
lemma/103655	v1r	Q331
lemma/105714	v1r	Q331
lemma/110782	v1r	Q331
lemma/112120	v1r	Q331
lemma/113285	v1r	Q331
lemma/113286	v3r	Q334
lemma/115103	v3r	Q334
lemma/116945	v2r	Q332
lemma/118939	v1r	Q331
lemma/119290	v3r	Q334
lemma/119908	v1r	Q331
lemma/122438	v3r	Q334
lemma/122467	v3r	Q334
lemma/124621	v1r	Q331
lemma/126948	v3r	Q334
lemma/126972	v3r	Q334
lemma/127073	v3r	Q334
lemma/129118	v1d	Q330
lemma/129119	v1r	Q331
lemma/130564	v1r	Q331
lemma/133667	v4r	Q335
lemma/136454	v1r	Q331
lemma/26438	v3r	Q334
lemma/27392	v1r	Q331
lemma/27499	v1r	Q331
lemma/29070	v1r	Q331
lemma/30233	v1r	Q331
lemma/30427	v3r	Q334
lemma/30859	v1r	Q331
lemma/31187	v1r	Q331
lemma/31202	v1r	Q331
lemma/31601	v1r	Q331
lemma/37842	v4r	Q335
lemma/39349	v1r	Q331
lemma/41166	v1r	Q331
lemma/47341	v5r	Q336
lemma/47795	v1r	Q331
lemma/48778	v1r	Q331
lemma/49246	v1r	Q331
lemma/53130	v1r	Q331
lemma/56512	v1r	Q331
lemma/58895	v1r	Q331
lemma/60550	v1r	Q331
lemma/66108	v3r	Q334
lemma/67899	v1r	Q331
lemma/73582	v1r	Q331
lemma/74895	v3r	Q334
lemma/76373	v4r	Q335
lemma/77600	v1r	Q331
lemma/79744	v1r	Q331
lemma/82546	v4r	Q335
lemma/83420	v5r	Q336
lemma/84394	v1r	Q331
lemma/85350	v3r	Q334
lemma/86740	v1r	Q331
lemma/87159	v3r	Q334
lemma/89192	v2r	Q332
lemma/89234	v1d	Q330
lemma/89243	v1r	Q331
lemma/94523	v1r	Q331
lemma/94786	v3r	Q334
lemma/95390	v3r	Q334
lemma/95441	v1r	Q331
lemma/96376	v1d	Q330
lemma/96466	v1r	Q331
lemma/97956	v1d	Q330
lemma/97957	v1r	Q331
lemma/98295	v3r	Q334
lemma/98698	v3r	Q334
lemma/98749	v1r	Q331
lemma/98955	v3r	Q334
lemma/99795	v2r	Q332
lemma/101724	v1r	Q331
lemma/102065	v1r	Q331
lemma/106278	v1d	Q330
lemma/107956	v1r	Q331
lemma/108066	v1r	Q331
lemma/108516	v3d	Q338
lemma/108691	v1r	Q331
lemma/109036	v2r	Q332
lemma/109037	v3r	Q334
lemma/110020	v1r	Q331
lemma/112827	v4r	Q335
lemma/114305	v3r	Q334
lemma/114439	v3r	Q334
lemma/114470	v3r	Q334
lemma/116696	v3r	Q334
lemma/116895	v3r	Q334
lemma/117455	v1r	Q331
lemma/118781	v1r	Q331
lemma/119343	v2r	Q332
lemma/120742	v4r	Q335
lemma/122675	v3r	Q334
lemma/122684	v3r	Q334
lemma/122735	v1r	Q331
lemma/122763	v1r	Q331
lemma/125825	v2r	Q332
lemma/125826	v3r	Q334
lemma/126009	v4d	Q340
lemma/126602	v3r	Q334
lemma/128611	v1r	Q331
lemma/129011	v1r	Q331
lemma/129476	v3r	Q334
lemma/131073	v1r	Q331
lemma/134177	v1r	Q331
lemma/136523	v1d	Q330
lemma/137548	v2r	Q332
lemma/138001	v3r	Q334
lemma/26847	v4r	Q335
lemma/27407	v1d	Q330
lemma/27537	v1r	Q331
lemma/29580	v4r	Q335
lemma/31152	v1r	Q331
lemma/32045	v1r	Q331
lemma/32585	v1r	Q331
lemma/32636	v1r	Q331
lemma/32917	v1r	Q331
lemma/33021	v1r	Q331
lemma/37434	v1r	Q331
lemma/38760	v1r	Q331
lemma/38993	v3e	Q339
lemma/43512	v1d	Q330
lemma/46424	v2r	Q332
lemma/50684	v1r	Q331
lemma/50735	v1r	Q331
lemma/56744	v1r	Q331
lemma/59078	v1r	Q331
lemma/67846	v1r	Q331
lemma/68219	v1r	Q331
lemma/68868	v1r	Q331
lemma/70819	v1r	Q331
lemma/74309	v1r	Q331
lemma/75560	v1r	Q331
lemma/75908	v1r	Q331
lemma/76016	v2r	Q332
lemma/80276	v1r	Q331
lemma/83528	v1r	Q331
lemma/85909	v1r	Q331
lemma/86848	v3r	Q334
lemma/87357	v1r	Q331
lemma/88326	v1r	Q331
lemma/94115	v4r	Q335
lemma/94422	v2r	Q332
lemma/95850	v2r	Q332
lemma/95890	v1r	Q331
lemma/96410	v1r	Q331
lemma/99667	v3r	Q334
lemma/100756	v4d	Q340
lemma/102157	v1r	Q331
lemma/103560	v2r	Q332
lemma/104752	v1r	Q331
lemma/105362	v1r	Q331
lemma/106472	v1r	Q331
lemma/106551	v4d	Q340
lemma/106552	v4r	Q335
lemma/106880	v1r	Q331
lemma/106931	v1r	Q331
lemma/108057	v4r	Q335
lemma/108419	v3r	Q334
lemma/109026	v4r	Q335
lemma/110561	v3r	Q334
lemma/111527	v5r	Q336
lemma/112121	v3r	Q334
lemma/112996	v1r	Q331
lemma/114714	v1r	Q331
lemma/115104	v3r	Q334
lemma/117766	v1r	Q331
lemma/119291	v3r	Q334
lemma/119789	v1r	Q331
lemma/120212	v1r	Q331
lemma/122439	v3r	Q334
lemma/122468	v3r	Q334
lemma/126156	v1r	Q331
lemma/126949	v2r	Q332
lemma/126973	v3r	Q334
lemma/127125	v3r	Q334
lemma/128451	v5r	Q336
lemma/129298	v1r	Q331
lemma/136064	v1r	Q331
lemma/137401	v1r	Q331
lemma/138517	v5r	Q336
lemma/138523	v1r	Q331
lemma/141803	v1d	Q330
lemma/26640	v4r	Q335
lemma/27300	v1r	Q331
lemma/27398	v1r	Q331
lemma/31279	v1r	Q331
lemma/39270	v1r	Q331
lemma/43569	v4r	Q335
lemma/46869	v1r	Q331
lemma/46889	v3r	Q334
lemma/47342	v1r	Q331
lemma/47675	v1r	Q331
lemma/47858	v1r	Q331
lemma/48848	v4r	Q335
lemma/50687	v1r	Q331
lemma/51194	v4r	Q335
lemma/52571	v5r	Q336
lemma/52622	v4r	Q335
lemma/69718	v1r	Q331
lemma/72953	v1r	Q331
lemma/75353	v1r	Q331
lemma/76127	v1r	Q331
lemma/76227	v1r	Q331
lemma/78368	v1r	Q331
lemma/79649	v1r	Q331
lemma/82163	v1r	Q331
lemma/84446	v1r	Q331
lemma/87200	v1r	Q331
lemma/90644	v1r	Q331
lemma/94473	v1r	Q331
lemma/94787	v1r	Q331
lemma/94842	v1r	Q331
lemma/95442	v5r	Q336
lemma/95932	v3d	Q338
lemma/97049	v3r	Q334
lemma/98299	v1r	Q331
lemma/98644	v4r	Q335
lemma/100701	v2r	Q332
lemma/101883	v1r	Q331
lemma/102103	v4d	Q340
lemma/103203	v1r	Q331
lemma/103719	v2r	Q332
lemma/106790	v1r	Q331
lemma/106814	v4r	Q335
lemma/108001	v3r	Q334
lemma/108067	v4r	Q335
lemma/108692	v2r	Q332
lemma/109968	v4r	Q335
lemma/110426	v1r	Q331
lemma/113033	v3r	Q334
lemma/113092	v1d	Q330
lemma/113093	v1r	Q331
lemma/115233	v1r	Q331
lemma/116079	v2	Q342
lemma/116672	v1r	Q331
lemma/117303	v3d	Q338
lemma/118756	v2r	Q332
lemma/118757	v3r	Q334
lemma/118782	v3r	Q334
lemma/118789	v1r	Q331
lemma/118833	v3r	Q334
lemma/119751	v3r	Q334
lemma/122676	v1r	Q331
lemma/122685	v1r	Q331
lemma/122699	v1r	Q331
lemma/122736	v5r	Q336
lemma/125755	v1d	Q330
lemma/126208	v1r	Q331
lemma/126616	v1r	Q331
lemma/129012	v1r	Q331
lemma/129255	v1r	Q331
lemma/131074	v1r	Q331
lemma/134229	v1r	Q331
lemma/137510	v6r	Q337
lemma/138002	v3r	Q334
lemma/27447	v4r	Q335
lemma/29929	v1r	Q331
lemma/33146	v1r	Q331
lemma/35957	v1r	Q331
lemma/37435	v1r	Q331
lemma/38162	v1r	Q331
lemma/41060	v1r	Q331
lemma/43105	v1r	Q331
lemma/45483	v2d	Q347
lemma/46427	v3r	Q334
lemma/47751	v3r	Q334
lemma/48693	v5r	Q336
lemma/52980	v1r	Q331
lemma/53081	v1d	Q330
lemma/55823	v1r	Q331
lemma/56741	v1r	Q331
lemma/57250	v1r	Q331
lemma/59146	v1r	Q331
lemma/62412	v3e	Q339
lemma/78777	v1r	Q331
lemma/84855	v3r	Q334
lemma/85527	v1r	Q331
lemma/86289	v1r	Q331
lemma/87118	v4r	Q335
lemma/89653	v1d	Q330
lemma/89654	v1r	Q331
lemma/90185	v3r	Q334
lemma/90236	v1r	Q331
lemma/91987	v3r	Q334
lemma/93270	v1d	Q330
lemma/93271	v1r	Q331
lemma/94116	v6r	Q337
lemma/94270	v1r	Q331
lemma/94424	v1r	Q331
lemma/95582	v3r	Q334
lemma/95617	v1r	Q331
lemma/95851	v3r	Q334
lemma/95958	v3d	Q338
lemma/96281	v2r	Q332
lemma/96360	v3r	Q334
lemma/96411	v1r	Q331
lemma/98267	v6r	Q337
lemma/98571	v5d	Q341
lemma/98922	v3r	Q334
lemma/98958	v1r	Q331
lemma/99512	v3r	Q334
lemma/101175	v1r	Q331
lemma/102320	v1r	Q331
lemma/104229	v3r	Q334
lemma/104700	v1r	Q331
lemma/106207	v1r	Q331
lemma/107850	v1r	Q331
lemma/108109	v1r	Q331
lemma/109143	v1d	Q330
lemma/110784	v3r	Q334
lemma/113287	v6r	Q337
lemma/114180	v1r	Q331
lemma/114821	v4r	Q335
lemma/115105	v4d	Q340
lemma/116840	v1r	Q331
lemma/117400	v2r	Q332
lemma/117865	v1r	Q331
lemma/119859	v2r	Q332
lemma/122388	v2r	Q332
lemma/122440	v1r	Q331
lemma/123486	v5r	Q336
lemma/126950	v3r	Q334
lemma/126974	v3r	Q334
lemma/126983	v2r	Q332
lemma/127075	v2r	Q332
lemma/128452	v2r	Q332
lemma/129632	v1d	Q330
lemma/129633	v1r	Q331
lemma/129862	v1d	Q330
lemma/130433	v1r	Q331
lemma/131420	v3r	Q334
lemma/136065	v3r	Q334
lemma/141759	v1r	Q331
lemma/27250	v3e	Q339
lemma/27301	v1r	Q331
lemma/27525	v1r	Q331
lemma/28326	v1r	Q331
lemma/29910	v1r	Q331
lemma/31204	v1r	Q331
lemma/31277	v1r	Q331
lemma/32178	v1r	Q331
lemma/32530	v1r	Q331
lemma/32995	v7e	Q343
lemma/35033	v1r	Q331
lemma/46411	v1r	Q331
lemma/47124	v1r	Q331
lemma/47318	v1r	Q331
lemma/47859	v4r	Q335
lemma/48419	v3r	Q334
lemma/49319	v1r	Q331
lemma/49337	v1r	Q331
lemma/50380	v1r	Q331
lemma/54345	v1r	Q331
lemma/59653	v1r	Q331
lemma/59873	v3r	Q334
lemma/60401	v1r	Q331
lemma/60593	v1r	Q331
lemma/61176	v1r	Q331
lemma/63233	v1r	Q331
lemma/65391	v1r	Q331
lemma/66059	v1r	Q331
lemma/68320	v4r	Q335
lemma/74304	v4r	Q335
lemma/76053	v3r	Q334
lemma/76375	v4r	Q335
lemma/77165	v1r	Q331
lemma/81706	v1r	Q331
lemma/82995	v3r	Q334
lemma/83371	v1r	Q331
lemma/83938	v1r	Q331
lemma/84552	v1r	Q331
lemma/85416	v1d	Q330
lemma/88685	v1r	Q331
lemma/88713	v4d	Q340
lemma/89485	v1r	Q331
lemma/91924	v1d	Q330
lemma/91925	v1r	Q331
lemma/92179	v3r	Q334
lemma/92531	v1r	Q331
lemma/93166	v6r	Q337
lemma/94843	v2e	Q352
lemma/95443	v5r	Q336
lemma/95898	v1d	Q330
lemma/97052	v1r	Q331
lemma/98648	v3r	Q334
lemma/98880	v3r	Q334
lemma/99038	v1r	Q331
lemma/99364	v3r	Q334
lemma/99970	v1r	Q331
lemma/100349	v3r	Q334
lemma/100650	v3r	Q334
lemma/100742	v1r	Q331
lemma/102593	v3r	Q334
lemma/103657	v1r	Q331
lemma/108096	v3r	Q334
lemma/108518	v2r	Q332
lemma/108693	v3r	Q334
lemma/109868	v1r	Q331
lemma/110078	v1r	Q331
lemma/113180	v1d	Q330
lemma/113181	v1r	Q331
lemma/114200	v1r	Q331
lemma/117457	v3r	Q334
lemma/118708	v3r	Q334
lemma/118790	v1r	Q331
lemma/122686	v1r	Q331
lemma/122700	v3r	Q334
lemma/122737	v1r	Q331
lemma/122992	v1d	Q330
lemma/126679	v4r	Q335
lemma/130191	v1r	Q331
lemma/136156	v1	Q344
lemma/137586	v1r	Q331
lemma/138003	v1r	Q331
lemma/26333	v1r	Q331
lemma/28183	v1r	Q331
lemma/29991	v1r	Q331
lemma/32898	v1r	Q331
lemma/39331	v1r	Q331
lemma/43055	v1r	Q331
lemma/43603	v3r	Q334
lemma/43979	v3r	Q334
lemma/46534	v1r	Q331
lemma/47344	v1r	Q331
lemma/47752	v1r	Q331
lemma/49762	v1r	Q331
lemma/57082	v1r	Q331
lemma/57302	v1r	Q331
lemma/59321	v3r	Q334
lemma/62697	v3r	Q334
lemma/63816	v1r	Q331
lemma/74899	v3r	Q334
lemma/75458	v1r	Q331
lemma/75810	v3r	Q334
lemma/76647	v1r	Q331
lemma/77344	v1r	Q331
lemma/77830	v1r	Q331
lemma/79287	v1r	Q331
lemma/82129	v1r	Q331
lemma/82778	v1r	Q331
lemma/83402	v1r	Q331
lemma/91988	v4r	Q335
lemma/92554	v1r	Q331
lemma/94117	v3r	Q334
lemma/94271	v3r	Q334
lemma/94426	v1r	Q331
lemma/95976	v4r	Q335
lemma/96282	v3r	Q334
lemma/96330	v3r	Q334
lemma/98593	v1r	Q331
lemma/98929	v1r	Q331
lemma/99513	v1r	Q331
lemma/102185	v1d	Q330
lemma/102236	v1r	Q331
lemma/102321	v1r	Q331
lemma/105678	v4d	Q340
lemma/105679	v5d	Q341
lemma/107034	v1r	Q331
lemma/107902	v1r	Q331
lemma/110446	v1d	Q330
lemma/113288	v6r	Q337
lemma/114182	v1r	Q331
lemma/115106	v1r	Q331
lemma/116404	v1r	Q331
lemma/116841	v3r	Q334
lemma/117049	v3r	Q334
lemma/117401	v3r	Q334
lemma/122360	v3r	Q334
lemma/122389	v3r	Q334
lemma/122441	v3r	Q334
lemma/122630	v1r	Q331
lemma/122649	v1r	Q331
lemma/122668	v1r	Q331
lemma/122867	v3r	Q334
lemma/124766	v1r	Q331
lemma/125343	v3r	Q334
lemma/126984	v3r	Q334
lemma/127076	v3r	Q334
lemma/130192	v3r	Q334
lemma/130651	v1r	Q331
lemma/131268	v5r	Q336
lemma/137348	v1r	Q331
lemma/27220	v1r	Q331
lemma/28849	v1r	Q331
lemma/28890	v1r	Q331
lemma/29318	v1r	Q331
lemma/31205	v2r	Q332
lemma/32179	v3r	Q334
lemma/33579	v1r	Q331
lemma/35851	v1r	Q331
lemma/37877	v1r	Q331
lemma/41530	v3r	Q334
lemma/44841	v1r	Q331
lemma/46018	v1r	Q331
lemma/46174	v1r	Q331
lemma/48375	v1r	Q331
lemma/53527	v1r	Q331
lemma/53649	v4r	Q335
lemma/54763	v1r	Q331
lemma/56259	v1r	Q331
lemma/57359	v1r	Q331
lemma/59334	v1r	Q331
lemma/59654	v1r	Q331
lemma/61614	v4r	Q335
lemma/62149	v1r	Q331
lemma/75402	v1r	Q331
lemma/75434	v1r	Q331
lemma/77664	v1r	Q331
lemma/77804	v1r	Q331
lemma/81455	v1d	Q330
lemma/82573	v3r	Q334
lemma/85450	v1r	Q331
lemma/86051	v1r	Q331
lemma/87162	v1r	Q331
lemma/87661	v1r	Q331
lemma/87712	v1r	Q331
lemma/89321	v1r	Q331
lemma/89911	v6r	Q337
lemma/90857	v1r	Q331
lemma/93450	v1r	Q331
lemma/93951	v1r	Q331
lemma/98236	v3r	Q334
lemma/99832	v2r	Q332
lemma/99971	v2r	Q332
lemma/100651	v3r	Q334
lemma/100703	v1r	Q331
lemma/102067	v3r	Q334
lemma/102390	v3r	Q334
lemma/103117	v1r	Q331
lemma/103205	v1r	Q331
lemma/104072	v3r	Q334
lemma/104940	v4r	Q335
lemma/105965	v4r	Q335
lemma/106020	v1d	Q330
lemma/106021	v1r	Q331
lemma/107521	v1r	Q331
lemma/107959	v3r	Q334
lemma/108519	v1r	Q331
lemma/108820	v1r	Q331
lemma/113748	v1d	Q330
lemma/114201	v3r	Q334
lemma/114473	v1r	Q331
lemma/114652	v2r	Q332
lemma/117225	v4r	Q335
lemma/117810	v3r	Q334
lemma/118784	v3r	Q334
lemma/121597	v1r	Q331
lemma/122408	v3d	Q338
lemma/122687	v3r	Q334
lemma/122738	v2r	Q332
lemma/122778	v1r	Q331
lemma/124014	v1r	Q331
lemma/126210	v3r	Q334
lemma/126604	v1r	Q331
lemma/129780	v1d	Q330
lemma/129781	v1r	Q331
lemma/130243	v1r	Q331
lemma/138004	v3r	Q334
lemma/139981	v1r	Q331
lemma/26799	v1r	Q331
lemma/27309	v5r	Q336
lemma/32072	v1r	Q331
lemma/39681	v1r	Q331
lemma/43924	v1r	Q331
lemma/45128	v1r	Q331
lemma/45379	v1r	Q331
lemma/46376	v1r	Q331
lemma/47753	v1r	Q331
lemma/48451	v3r	Q334
lemma/48702	v1r	Q331
lemma/49320	v1r	Q331
lemma/53252	v1r	Q331
lemma/56146	v1r	Q331
lemma/60201	v1r	Q331
lemma/63098	v3e	Q339
lemma/63371	v3r	Q334
lemma/65823	v4r	Q335
lemma/73516	v1r	Q331
lemma/75811	v1r	Q331
lemma/81248	v3r	Q334
lemma/82830	v1r	Q331
lemma/83015	v1r	Q331
lemma/83781	v1r	Q331
lemma/85947	v3d	Q338
lemma/88329	v1r	Q331
lemma/90238	v3r	Q334
lemma/92890	v1d	Q330
lemma/92891	v1r	Q331
lemma/94118	v3r	Q334
lemma/94234	v1r	Q331
lemma/94304	v3r	Q334
lemma/95205	v1r	Q331
lemma/95853	v1r	Q331
lemma/96288	v1r	Q331
lemma/96878	v1r	Q331
lemma/98594	v3d	Q338
lemma/99469	v2r	Q332
lemma/101143	v3r	Q334
lemma/102237	v3r	Q334
lemma/104185	v3r	Q334
lemma/104532	v3r	Q334
lemma/104753	v4r	Q335
lemma/106010	v1r	Q331
lemma/106883	v1r	Q331
lemma/107830	v1r	Q331
lemma/108424	v3r	Q334
lemma/108877	v1r	Q331
lemma/111528	v6r	Q337
lemma/115107	v3r	Q334
lemma/115122	v2r	Q332
lemma/116791	v6r	Q337
lemma/117023	v2e	Q352
lemma/117351	v3r	Q334
lemma/117918	v3r	Q334
lemma/118019	v1r	Q331
lemma/118952	v1r	Q331
lemma/119012	v1d	Q330
