token_id	wikibase_qid
005.SCG*LB2.CP-7++5.N.-8.29-1.35-4W12	Q448
005.SCG*LB2.CP10++0.N.-4.17-1.19-6W19	Q449
005.SCG*LB4.CP-1++0.N.-7.5-2.6-6W9	Q450
005.SCG*LB1.CP-2++6.N.11.3-1.10-4W11	Q451
005.SCG*LB2.CP10++0.N.-4.4-2.7-1W16	Q452
005.SCG*LB1.CP-2++6.N.11.28-1.31-1W21	Q453
005.SCG*LB2.CP-7++5.N.-8.29-1.35-4W41	Q454
005.SCG*LB2.CP-7++5.N.-2.19-1.20-7W4	Q455
005.SCG*LB2.CP-7++5.N.-2.16-1.18-2W4	Q456
005.SCG*LB2.CP-7++5.N.-6.14-2.17-5W3	Q457
005.SCG*LB1.CP-6++5.N.-9.18-4.23-3W11	Q458
005.SCG*LB1.CP-4++2.N.12.1-2.3-7W10	Q459
005.SCG*LB4.CP-1++0.N.-7.7-1.9-1W13	Q460
005.SCG*LB4.CP-8++1.N.10.40-4.42-3W9	Q461
005.SCG*LB4.CP-6++2.N.-6.19-1.20-6W8	Q462
005.SCG*LB4.CP-4++4.N.-5.10-2.14-1W22	Q463
005.SCG*LB4.CP-4++4.N.-5.7-1.8-2W7	Q464
005.SCG*LB2.CP-3++0.N.12.5-6.10-4W12	Q465
005.SCG*LB2.CP-8++9.N.-6.2-5.8-5W31	Q466
005.SCG*LB4.CP-4++5.N.-2.8-6.11-2W12	Q467
005.SCG*LB2.CP-8++9.N.-6.8-6.12-4W18	Q468
005.SCG*LB4.CP-4++4.N.-6.3-4.7-3W17	Q469
005.SCG*LB3.CP13++5.N.22.30-5.37-5W42	Q470
005.SCG*LB4.CP-1++1.N.18.32-1.37-5W39	Q471
005.SCG*LB4.CP-4++5.N.-8.1-1.4-4W15	Q472
005.SCG*LB4.CP--++2.N.-5.14-7.19-6W24	Q473
005.SCG*LB4.CP--++2.N.-5.11-5.12-8W11	Q474
005.SCG*LB4.CP-1++1.N.18.32-1.37-5W36	Q475
005.SCG*LB2.CP--++2.N.-3.1-1.4-3W20	Q476
005.SCG*LB4.CP-1++1.N.18.65-1.69-5W4	Q477
