lemma	lemmaLabel	variant	variantLabel
lemma/107880	inimico	lemma/59544	inimicor
lemma/121147	querelor	lemma/121148	querelo
lemma/121148	querelo	lemma/121147	querelor
lemma/122519	refragor	lemma/122520	refrago
lemma/122520	refrago	lemma/122519	refragor
lemma/28346	agricolo	lemma/88177	agricolor
lemma/50610	exemplor	lemma/101974	exemplo
lemma/59544	inimicor	lemma/107880	inimico
lemma/87709	adulteror	lemma/87710	adultero
lemma/87710	adultero	lemma/87709	adulteror
lemma/88177	agricolor	lemma/28346	agricolo
lemma/101981	exerceo	lemma/101982	exerco
lemma/101982	exerco	lemma/101981	exerceo
lemma/106364	imitor	lemma/106365	imito
lemma/106364	imitor	lemma/106366	emitor
lemma/106365	imito	lemma/106364	imitor
lemma/106365	imito	lemma/106366	emitor
lemma/106366	emitor	lemma/106364	imitor
lemma/106366	emitor	lemma/106365	imito
lemma/102127	expalpor	lemma/102128	expalpo
lemma/102128	expalpo	lemma/102127	expalpor
lemma/107255	indagor	lemma/107256	indago
lemma/107256	indago	lemma/107255	indagor
lemma/116681	percontor	lemma/116682	perconto
lemma/116682	perconto	lemma/116681	percontor
lemma/117944	piscor	lemma/71612	pisco
lemma/127134	suspicor	lemma/127135	suspico
lemma/127135	suspico	lemma/127134	suspicor
lemma/128353	toleror	lemma/128354	tolero
lemma/128354	tolero	lemma/128353	toleror
lemma/28167	aggeniculo	lemma/88068	aggeniculor
lemma/71612	pisco	lemma/117944	piscor
lemma/88068	aggeniculor	lemma/28167	aggeniculo
lemma/89954	argutor	lemma/89955	arguto
lemma/89955	arguto	lemma/89954	argutor
lemma/94165	circumlauo	lemma/94166	circumlauo
lemma/102309	exsequior	lemma/50629	exequio
lemma/109736	laetor	lemma/109737	laeto
lemma/109737	laeto	lemma/109736	laetor
lemma/130923	utor	lemma/130924	uto
lemma/130924	uto	lemma/130923	utor
lemma/50629	exequio	lemma/102309	exsequior
lemma/93579	certor	lemma/93580	certo
lemma/93580	certo	lemma/93579	certor
lemma/95127	commereor	lemma/95128	commereo
lemma/95128	commereo	lemma/95127	commereor
lemma/110391	liberor	lemma/110392	libero
lemma/110392	libero	lemma/110391	liberor
lemma/40444	celor	lemma/93353	celo
lemma/93353	celo	lemma/40444	celor
lemma/94166	circumlauo	lemma/94165	circumlauo
lemma/102486	exulor	lemma/102487	exulo
lemma/102487	exulo	lemma/102486	exulor
lemma/102737	fabulor	lemma/102738	fabulo
lemma/102738	fabulo	lemma/102737	fabulor
lemma/108773	intueor	lemma/108774	intuor
lemma/108773	intueor	lemma/108775	intuo
lemma/108773	intueor	lemma/60129	intueo
lemma/108774	intuor	lemma/108773	intueor
lemma/108774	intuor	lemma/108775	intuo
lemma/108774	intuor	lemma/60129	intueo
lemma/108775	intuo	lemma/108773	intueor
lemma/108775	intuo	lemma/108774	intuor
lemma/108775	intuo	lemma/60129	intueo
lemma/60129	intueo	lemma/108773	intueor
lemma/60129	intueo	lemma/108774	intuor
lemma/60129	intueo	lemma/108775	intuo
lemma/86993	abscondor	lemma/86994	abscondo
lemma/86994	abscondo	lemma/86993	abscondor
lemma/95504	concieo	lemma/95505	concio
lemma/95505	concio	lemma/95504	concieo
lemma/96965	criso	lemma/45110	crissor
lemma/105449	hibernor	lemma/105450	hiberno
lemma/105450	hiberno	lemma/105449	hibernor
lemma/107693	infio	lemma/138705	infit
lemma/114290	obliuiscor	lemma/67891	obliuisco
lemma/120097	prospero	lemma/73817	prosperor
lemma/138705	infit	lemma/107693	infio
lemma/73817	prosperor	lemma/120097	prospero
lemma/105764	humano	lemma/57962	humanor
lemma/112616	molo	lemma/112617	molo
lemma/112617	molo	lemma/112616	molo
lemma/130136	uicinor	lemma/85008	uicino
lemma/45110	crissor	lemma/96965	criso
lemma/57962	humanor	lemma/105764	humano
lemma/85008	uicino	lemma/130136	uicinor
lemma/91457	bellor	lemma/91458	bello
lemma/91458	bello	lemma/91457	bellor
lemma/92783	captor	lemma/92784	capto
lemma/92784	capto	lemma/92783	captor
lemma/102379	exsultor	lemma/102380	exsulto
lemma/102380	exsulto	lemma/102379	exsultor
lemma/104871	gratificor	lemma/104872	gratifico
lemma/104872	gratifico	lemma/104871	gratificor
lemma/119238	praestigior	lemma/119239	praestigio
lemma/119239	praestigio	lemma/119238	praestigior
lemma/142050	progeniculo	lemma/73639	progeniculor
lemma/67891	obliuisco	lemma/114290	obliuiscor
lemma/73639	progeniculor	lemma/142050	progeniculo
lemma/87555	admodulor	lemma/87556	admodulo
lemma/87556	admodulo	lemma/87555	admodulor
lemma/75897	regnor	lemma/122541	regno
lemma/112498	mito	lemma/112499	mitto
lemma/91495	benignor	lemma/35084	benigno
lemma/113647	nexo	lemma/113646	nexo
lemma/103923	fugio	lemma/103921	fugo
lemma/103923	fugio	lemma/103922	fugio
lemma/115825	pango	lemma/68850	pagit
lemma/105459	hiemo	lemma/156182	hyemat
lemma/141725	confacio	lemma/95743	confio
lemma/98196	d	lemma/98197	dedico
lemma/141716	commiseretur	lemma/95155	commiseror
lemma/141716	commiseretur	lemma/95156	commisero
lemma/27214	addecimor	lemma/87388	addecimo
lemma/88950	anclor	lemma/88951	anclo
lemma/108171	insipio	lemma/108170	insipo
lemma/104154	fabellor	lemma/51057	fabello
lemma/94858	collimitor	lemma/94859	collimito
lemma/141879	interest	lemma/108661	intersum
lemma/79710	sedet	lemma/124004	sedeo
lemma/136089	paenitet	lemma/115623	paeniteor
lemma/136089	paenitet	lemma/115624	paeniteo
lemma/141691	carbunculor	lemma/92813	carbunculo
lemma/158419	madifico	lemma/111230	madefacio
lemma/158339	confluctuor	lemma/95794	confluctuo
lemma/158480	subperturbo	lemma/127014	supperturbor
lemma/158449	placet	lemma/118010	placeo
lemma/158318	censeor	lemma/93395	censeo
lemma/158368	dispolior	lemma/98944	despolio
lemma/158459	profore	lemma/120122	prosum
lemma/158474	rigidor	lemma/122837	rigido
lemma/158457	profaris	lemma/119727	profor
lemma/158377	elucto	lemma/100875	eluctor
lemma/158479	stat	lemma/124554	sto
lemma/158434	patet	lemma/116202	pateo
lemma/158389	faris	lemma/103600	for
lemma/156216	suppeditat	lemma/127011	suppedito
lemma/156217	suppeditor	lemma/127011	suppedito
lemma/156164	conducit	lemma/95691	conduco
lemma/156204	poenitet	lemma/115623	paeniteor
lemma/156204	poenitet	lemma/115624	paeniteo
lemma/156147	accidit	lemma/87112	accido
lemma/156557	intrudo	lemma/60124	intrudo
lemma/156789	imbrumo	lemma/58472	imbrumor
lemma/156795	imbrumo	lemma/58472	imbrumor
lemma/156575	insanio	lemma/108063	insanio
lemma/156575	insanio	lemma/59733	insanior
lemma/156782	gramino	lemma/55864	graminor
lemma/156784	circumueho	lemma/94297	circumuehor
lemma/156791	complexionor	lemma/131287	complexiono
lemma/169117	febricitor	lemma/103045	febricito
lemma/169624	rumpor	lemma/122881	rumpo
lemma/169726	sororior	lemma/125201	sororio
lemma/169726	sororior	lemma/125200	sororio
lemma/169767	subcenturior	lemma/126513	succenturio
lemma/112499	mitto	lemma/112498	mito
lemma/122541	regno	lemma/75897	regnor
lemma/95338	complector	lemma/95339	complecto
lemma/95339	complecto	lemma/95338	complector
lemma/98379	deieror	lemma/98380	deiero
lemma/98380	deiero	lemma/98379	deieror
lemma/108284	instruo	lemma/59859	instruor
lemma/110623	liqueo	lemma/141913	liquet
lemma/112465	miseror	lemma/112466	misero
lemma/112466	misero	lemma/112465	miseror
lemma/121040	quadruplor	lemma/121041	quadruplo
lemma/121041	quadruplo	lemma/121040	quadruplor
lemma/141913	liquet	lemma/110623	liqueo
lemma/95180	commolior	lemma/95181	commolio
lemma/95181	commolio	lemma/95180	commolior
lemma/100876	elucubror	lemma/100877	elucubro
lemma/100877	elucubro	lemma/100876	elucubror
