lexeme	lila_lemma	wikibase_entry
a0860	87752	L18898
a0862	87755	L18899
a0880	87780	L18900
a0880_sc	87781	L18901
a0890	87792	L18902
a0900	87804	L18903
a0940	87847	L18904
a0951	87859	L18905
a0961	87869	L18906
a0985	87899	L18907
a0994	87908	L18908
a1003	87917	L18909
a1014	87928	L18910
a1025	87940	L18911
a1028	87943	L18912
a1034	87951	L18913
a1042	87960	L18914
a1054	87974	L18915
a1064	87985	L18916
a1076	87998	L18917
a1079	88001	L18918
a1080	88002	L18919
a1081	88003	L18920
a1084	88006	L18921
a1085	88007	L18922
a1087	88009	L18923
a1093	88015	L18924
a1098	88020	L18925
a1099	88021	L18926
a1101	88023	L18927
a1104	88026	L18928
a1105	88027	L18929
a1108	88030	L18930
a1111	88033	L18931
a1112	88034	L18932
a1113	88035	L18933
a1114	88036	L18934
a1115	88037	L18935
a1116	88038	L18936
a1117	88039	L18937
a1118	88040	L18938
a1119	88041	L18939
a1120	88042	L18940
a1122	88044	L18941
a1139	88063	L18942
a1140	88064	L18943
a1141	88065	L18944
a1142	88066	L18945
a1144	88068	L18946
a1149	88073	L18947
a1150	88074	L18948
a1152	88076	L18949
a1154	88078	L18950
a1156	88080	L18951
a1157	88081	L18952
a1158	88083	L18953
a1164	88091	L18954
a1169	88096	L18955
a1176	88103	L18956
a1183	88110	L18957
a1188	88116	L18958
a1204	88134	L18959
a1208	88140	L18960
a1216	88152	L18961
a1236	88177	L18962
a1250	88191	L18963
a1267	88211	L18964
a1282	88232	L18965
a1285	88236	L18966
a1290	88242	L18967
a1299	88251	L18968
a1333	88293	L18969
a1337	88297	L18970
a1337_sc	88298	L18971
a1359	88326	L18972
a1362	88329	L18973
a1378	88348	L18974
a1379	88349	L18975
a1384	88354	L18976
a1385	88355	L18977
a1386	88356	L18978
a1387	88357	L18979
a1388	88358	L18980
a1390	88360	L18981
a1392	88362	L18982
a1393	88363	L18983
a1398	88368	L18984
a1403	88373	L18985
a1404	88374	L18986
a1408	88378	L18987
a1414	88384	L18988
a1415	88385	L18989
a1416	88386	L18990
a1417	88388	L18991
a1418	88389	L18992
a1424	88395	L18993
a1425	88396	L18994
a1426	88397	L18995
a1428	88399	L18996
a1434	88405	L18997
a1436	88407	L18998
a1437	88408	L18999
a1439	88410	L19000
a1440	88411	L19001
a1441	88412	L19002
a1442	88413	L19003
a1457	88429	L19004
a1461	88433	L19005
a1474	88447	L19006
a1476	88449	L19007
a1486	88461	L19008
a1493	88468	L19009
a1495	88470	L19010
a1499	88474	L19011
a1508	88484	L19012
a1527	88503	L19013
a1533	88509	L19014
a1537	88513	L19015
a1552	88533	L19016
a1570	88555	L19017
a1571	88556	L19018
a1576	88563	L19019
a1578	88566	L19020
a1579	88567	L19021
a1585	88574	L19022
a1586	88575	L19023
a1590	88579	L19024
a1600	88591	L19025
a1612	88603	L19026
a1622	88613	L19027
a1626	88618	L19028
a1650	88642	L19029
a1653	88645	L19030
a1679	88674	L19031
a1682	88678	L19032
a1684	88680	L19033
a1688	88685	L19034
a1692	88691	L19035
a1694	88693	L19036
a1705	88705	L19037
a1709	88709	L19038
a1712	88713	L19039
a1723	88724	L19040
a1724	88725	L19041
a1752	88756	L19042
a1762	88768	L19043
a1766	88773	L19044
a1772	88779	L19045
a1774	88781	L19046
a1777	88784	L19047
a1781	88788	L19048
a1786	88793	L19049
a1792	88799	L19050
a1812	88822	L19051
a1874	88891	L19052
a1875	88892	L19053
a1878	88896	L19054
a1895	88914	L19055
a1896	88915	L19056
a1899	88918	L19057
a1919	88943	L19058
a1925	88951	L19059
a1944	88974	L19060
a1951	88982	L19061
a1957	88988	L19062
a1957_sc	88989	L19063
a1971	89009	L19064
a1983	89023	L19065
a2002	89044	L19066
a2009	89053	L19067
a2015	89060	L19068
a2026	89073	L19069
a2041	89089	L19070
a2059	89109	L19071
a2062	89112	L19072
a2065	89117	L19073
a2071	89123	L19074
a2090	89144	L19075
a2112	89168	L19076
a2117	89173	L19077
a2118	89174	L19078
a2124	89180	L19079
a2128	89184	L19080
a2134	89191	L19081
a2135	89192	L19082
a2141	89198	L19083
a2150	89207	L19084
a2157	89214	L19085
a2164	89221	L19086
a2165	89222	L19087
a2176	89233	L19088
a2177	89234	L19089
a2180	89237	L19090
a2183	89241	L19091
a2184	89242	L19092
a2185	89243	L19093
a2225	89287	L19094
a2252	89321	L19095
a2261	89331	L19096
a2270	89342	L19097
a2278	89351	L19098
a2285	89358	L19099
a2299	89372	L19100
a2302	89375	L19101
a2303	89376	L19102
a2317	89391	L19103
a2322	89397	L19104
a2327	89402	L19105
a2364	89449	L19106
a2365	89450	L19107
a2384	89473	L19108
a2395	89485	L19109
a2404	89494	L19110
a2412	89504	L19111
a2417	89509	L19112
a2418	89510	L19113
a2428	89523	L19114
a2439	89534	L19115
a2442	89538	L19116
a2453	89552	L19117
a2460	89559	L19118
a2468	89567	L19119
a2469	89568	L19120
a2473	89572	L19121
a2474	89573	L19122
a2476	89575	L19123
a2480	89579	L19124
a2481	89580	L19125
a2482	89581	L19126
a2485	89584	L19127
a2488	89587	L19128
a2491	89590	L19129
a2494	89593	L19130
a2498	89597	L19131
a2500	89599	L19132
a2501	89600	L19133
a2504	89603	L19134
a2508	89607	L19135
a2510	89610	L19136
a2512	89612	L19137
a2513	89613	L19138
a2516	89616	L19139
a2517	89617	L19140
a2520	89620	L19141
a2522	89622	L19142
a2523	89623	L19143
a2526	89626	L19144
a2527	89627	L19145
a2528	89628	L19146
a2535	89635	L19147
a2538	89638	L19148
a2539	89639	L19149
a2540	89640	L19150
a2542	89642	L19151
a2543	89643	L19152
a2545	89645	L19153
a2546	89646	L19154
a2547	89647	L19155
a2548	89648	L19156
a2553	89654	L19157
a2575	89681	L19158
a2622	89734	L19159
a2658	89779	L19160
a2662	89783	L19161
a2669	89790	L19162
a2683	89806	L19163
a2688	89811	L19164
a2724	89853	L19165
a2727	89857	L19166
a2763	89896	L19167
a2767	89900	L19168
a2773	89906	L19169
a2777	89911	L19170
a2778	89912	L19171
a2778_sc	89913	L19172
a2806	89944	L19173
a2809	89947	L19174
a2816	89955	L19175
a2834	89974	L19176
a2888	90036	L19177
a2895	90045	L19178
a2901	90052	L19179
a2912	90066	L19180
a2918	90073	L19181
a2919	90074	L19182
a2920	90075	L19183
