lexeme	lila_lemma	wikibase_entry
c3931	L20367
c3932	L20368
c3933	L20369
c3934	L20370
c3937	L20371
c3938	L20372
c3939	L20373
c3941	L20374
c3951	L20375
c3952	L20376
c3955	L20377
c3956	L20378
c3962	L20379
c3978	L20380
c3986	L20381
c3990	L20382
c3991	L20383
c3997	L20384
c4015	L20385
c4039	L20386
c4044	L20387
c4078	L20388
c4082	L20389
c4086	L20390
c4093	L20391
c4097	L20392
c4100	L20393
c4101	L20394
c4104	L20395
c4107	L20396
c4109	L20397
c4111	L20398
c4112	L20399
c4116	L20400
c4117	L20401
c4120	L20402
c4122	L20403
c4124	L20404
c4125	L20405
c4128	L20406
c4130	L20407
c4131	L20408
c4141	L20409
c4162	L20410
c4190	L20411
c4220	L20412
c4226	L20413
c4238	L20414
c4247	L20415
c4249	L20416
c4254	L20417
c4268	L20418
c4279	L20419
c4287	L20420
c4290	L20421
c4297	L20422
c4301	L20423
c4304	L20424
c4307	L20425
c4322	L20426
c4324	L20427
c4331	L20428
c4344	L20429
c4347	L20430
c4354	L20431
c4359	L20432
c4367	L20433
c4369	L20434
c4370	L20435
c4373	L20436
c4390	L20437
c4396	L20438
c4397	L20439
c4412	L20440
c4414	L20441
c4418	L20442
c4430	L20443
c4433	L20444
c4439	L20445
c4442	L20446
c4445	L20447
c4449	L20448
c4453	L20449
c4465	L20450
c4491	L20451
c4494	L20452
c4496	L20453
c4504	L20454
c4521	L20455
c4524	L20456
c4559	L20457
c4561	L20458
c4565	L20459
c4566	L20460
c4568	L20461
c4594	L20462
c4604	L20463
c4622	L20464
c4626	L20465
c4639	L20466
c4656	L20467
c4657	L20468
c4659	L20469
c4673	L20470
c4699	L20471
c4704	L20472
c4712	L20474
c4720	L20475
c4721	L20476
c4726	L20477
c4733	L20478
c4736	L20479
c4743	L20480
c4747	L20481
c4755	L20482
c4769	L20483
c4798	L20484
c4812	L20485
c4816	L20486
c4820	L20487
c4835	L20488
c4864	L20493
c6143	L20494
c6524	L20495
c6528	L20496
c6529	L20497
c6657	L20499
c7058	L20500
c7146	L20501
c7250	L20502
c7604	L20503
c7677	L20504
c7886	L20505
c7887	L20506
c7890	L20507
c8040	L20508
c8796	L20509
c9704	L20510
d0035	L20511
d0038	L20512
d0051	L20513
d0066	L20514
d0073	L20515
d0075	L20516
d0076	L20517
d0080	L20518
d0084	L20519
d0085	L20520
d0086	L20521
d0087	L20522
d0088	L20523
d0089	L20524
d0090	L20525
d0093	L20526
d0095	L20527
d0096	L20528
d0100	L20529
d0101	L20530
d0102	L20531
d0106	L20532
d0110	L20533
d0111	L20534
d0112	L20535
d0114	L20536
d0115	L20537
d0118	L20538
d0120	L20539
d0124	L20540
d0128	L20541
d0130	L20542
d0132	L20543
d0135	L20544
d0141	L20545
d0142	L20546
d0143	L20547
d0154	L20548
d0171	L20549
d0177	L20550
d0178	L20551
d0182	L20552
d0186	L20553
d0188	L20554
d0189	L20555
d0199	L20556
d0201	L20557
d0202	L20558
d0204	L20559
d0206	L20560
d0211	L20561
d0212	L20562
d0216	L20563
d0220	L20564
d0224	L20565
d0228	L20566
d0229	L20567
d0232	L20568
d0235	L20569
d0236	L20570
d0238	L20571
d0243	L20572
d0245	L20573
d0247	L20574
d0252	L20575
d0254	L20576
d0259	L20577
d0260	L20578
d0261	L20579
d0264	L20580
d0265	L20581
d0267	L20582
d0274	L20583
d0279	L20584
d0283	L20585
d0293	L20586
d0295	L20587
d0296	L20588
d0297	L20589
d0303	L20590
d0311	L20591
d0313	L20592
d0314	L20593
d0318	L20594
d0319	L20595
d0320	L20596
d0322	L20597
d0323	L20598
d0330	L20599
d0333	L20600
d0334	L20601
d0341	L20602
d0342	L20603
d0347	L20604
d0356	L20605
d0358	L20606
d0362	L20607
d0363	L20608
d0365	L20609
d0366	L20610
d0367	L20611
d0368	L20612
d0369	L20613
d0370	L20614
d0371	L20615
d0372	L20616
d0378	L20618
d0380	L20619
d0381	L20620
d0382	L20621
d0383	L20622
d0386	L20623
d0387	L20624
d0390	L20625
d0391	L20626
d0392	L20627
d0396	L20628
d0403	L20629
d0404	L20630
d0408	L20631
d0409	L20632
d0413	L20633
d0414	L20634
d0415	L20635
d0416	L20636
d0418	L20637
d0419	L20638
d0420	L20639
d0422	L20640
d0425	L20641
d0426	L20642
d0427	L20643
d0430	L20644
d0431	L20645
d0432	L20646
d0434	L20647
d0436	L20648
d0438	L20649
d0439	L20650
d0440	L20651
d0441	L20652
d0442	L20653
d0443	L20654
d0444	L20655
d0445	L20656
d0447	L20657
d0448	L20658
d0449	L20659
d0450	L20660
d0451	L20661
d0453	L20662
d0454	L20663
d0456	L20664
d0457	L20665
d0460	L20666
d0461	L20667
d0462	L20668
d0464	L20669
d0468	L20670
d0470	L20671
d0475	L20672
d0476	L20673
d0478	L20674
d0481	L20675
d0484	L20676
d0486	L20677
d0491	L20678
d0497	L20679
d0499	L20680
d0500	L20681
d0502	L20682
d0503	L20683
d0504	L20684
d0505	L20685
d0508	L20686
d0509	L20687
d0510	L20688
d0511	L20689
d0512	L20690
d0514	L20691
d0518	L20692
d0523	L20693
d0526	L20694
d0529	L20695
d0536	L20696
d0543	L20697
d0544	L20698
d0546	L20699
d0547	L20700
d0553	L20701
d0556	L20702
d0558	L20703
d0563	L20704
d0564	L20705
d0566	L20706
d0567	L20707
d0569	L20708
d0570	L20709
d0571	L20710
d0573	L20711
d0574	L20712
d0577	L20713
d0582	L20714
d0584	L20715
d0585	L20716
d0589	L20717
d0596	L20718
d0597	L20719
d0598	L20720
d0600	L20721
d0601	L20722
d0604	L20723
d0605	L20724
d0606	L20725
d0609	L20726
d0611	L20727
d0615	L20728
d0620	L20729
d0621	L20730
d0622	L20731
d0623	L20732
d0624	L20733
d0626	L20734
d0628	L20735
d0630	L20736
d0632	L20737
d0633	L20738
d0636	L20739
d0639	L20740
d0640	L20741
d0641	L20742
d0644	L20743
d0653	L20744
d0655	L20745
d0656	L20746
d0657	L20747
d0658	L20748
d0660	L20749
d0661	L20750
d0662	L20751
d0663	L20752
d0665	L20753
d0666	L20754
d0667	L20755
d0671	L20756
d0672	L20757
d0673	L20758
d0677	L20759
d0678	L20760
d0679	L20761
d0680	L20762
d0681	L20763
d0690	L20764
d0694	L20765
d0699	L20766
d0701	L20767
d0704	L20768
d0708	L20769
d0710	L20770
d0711	L20771
d0727	L20772
d0731	L20773
d0734	L20774
d0736	L20775
d0737	L20776
d0741	L20777
d0743	L20778
d0744	L20779
d0745	L20780
d0746	L20781
d0747	L20782
d0748	L20783
d0751	L20784
d0755	L20785
d0758	L20786
d0759	L20787
d0760	L20788
d0762	L20789
d0765	L20790
d0767	L20791
d0769	L20792
d0771	L20793
d0772	L20794
d0773	L20795
d0774	L20796
d0775	L20797
d0778	L20798
d0780	L20799
d0782	L20800
d0785	L20801
d0789	L20802
d0790	L20803
a0144	L18666
a1188	L18958
a1476	L19007
a2777	L19170
a3716	L19342
b9258	L19423
c0215	L19451
c0382	L19476
c0917	L19526
c2367	L19827
c2435	L19852
c2713	L19923
c2947	L20002
c3235	L20100
c3325	L20138
c4857	L20489
c4858	L20490
c4859	L20491
c4860	L20492
c6643	L20498
d0377	L20617
d0792	L20804
d0793	L20805
d0796	L20806
d0797	L20807
d0798	L20808
d0799	L20809
d0800	L20810
d0802	L20811
d0807	L20812
d0810	L20813
d0811	L20814
d0812	L20815
d0815	L20816
d0816	L20817
d0817	L20818
d0818	L20819
d0820	L20820
d0824	L20821
d0828	L20822
d0829	L20823
d0836	L20824
d0837	L20825
d0840	L20826
d0842	L20827
d0846	L20828
d0855	L20829
d0856	L20830
d0861	L20831
d0862	L20832
d0863	L20833
d0864	L20834
d0865	L20835
d0867	L20836
d0869	L20837
d0871	L20838
d0874	L20839
d0875	L20840
d0878	L20841
d0880	L20842
d0882	L20843
d0884	L20844
d0888	L20845
d0890	L20846
d0891	L20847
d0892	L20848
d0893	L20849
d0897	L20850
d0898	L20851
d0900	L20852
d0902	L20853
d0902_sc	L20854
d0903	L20855
d0912	L20856
d0913	L20857
d0918	L20858
d0919	L20859
d0920	L20860
d0921	L20861
d0923	L20862
d0924	L20863
d0925	L20864
d0926	L20865
d0927	L20866
d0929	L20867
d0930	L20868
d0933	L20869
d0934	L20870
d0936	L20871
d0937	L20872
d0942	L20873
d0943	L20874
d0945	L20875
d0948	L20876
d0950	L20877
d0951	L20878
d0952	L20879
d0957	L20880
d0962	L20881
d0963	L20882
d0968	L20883
d0973	L20884
d0976	L20885
d0977	L20886
d0978	L20887
d0980	L20888
d0981	L20889
d0983	L20890
d0988	L20891
d0989	L20892
d0992	L20893
d0996	L20894
d0999	L20895
d1002	L20896
d1003	L20897
d1007	L20898
d1008	L20899
d1011	L20900
d1012	L20901
d1015	L20902
d1017	L20903
d1018	L20904
d1020	L20905
d1021	L20906
d1022	L20907
d1023	L20908
d1025	L20909
d1026	L20910
d1030	L20911
d1032	L20912
d1035	L20913
d1036	L20914
d1038	L20915
d1043	L20916
d1044	L20917
d1047	L20918
d1050	L20919
d1050_sc	L20920
d1051	L20921
d1052	L20922
d1053	L20923
d1055	L20924
d1056	L20925
d1057	L20926
d1061	L20927
d1062	L20928
d1063	L20929
d1065	L20930
d1068	L20931
d1071	L20932
d1072	L20933
d1073	L20934
d1077	L20935
d1079	L20936
d1080	L20937
d1083	L20938
d1088	L20939
d1089	L20940
d1091	L20941
d1097	L20942
d1098	L20943
d1099	L20944
d1100	L20945
d1101	L20946
d1102	L20947
d1104	L20948
d1105	L20949
d1106	L20950
d1107	L20951
d1108	L20952
d1111	L20953
d1115	L20954
d1116	L20955
d1119	L20956
d1120	L20957
d1122	L20958
d1126	L20959
d1127	L20960
d1128	L20961
d1129	L20962
d1130	L20963
d1133	L20964
d1134	L20965
d1135	L20966
d1136	L20967
d1137	L20968
d1138	L20969
d1139	L20970
d1140	L20971
d1141	L20972
d1143	L20973
d1144	L20974
d1145	L20975
d1147	L20976
d1153	L20977
d1154	L20978
d1155	L20979
d1160	L20980
d1160_sc	L20981
d1161	L20982
d1162	L20983
d1164	L20984
d1165	L20985
d1168	L20986
d1170	L20987
d1172	L20988
d1174	L20989
d1175	L20990
d1176	L20991
d1177	L20992
d1183	L20993
d1189	L20994
d1190	L20995
d1191	L20996
d1197	L20997
d1325	L20998
d1328	L20999
d1349	L21000
d1350	L21001
d1358	L21002
d1363	L21003
d1365	L21004
d1368	L21005
d1371	L21006
d1372	L21007
d1374	L21008
d1383	L21009
d1384	L21010
d1386	L21011
d1388	L21012
d1392	L21013
d1393	L21014
d1394	L21015
d1397	L21016
d1399	L21017
d1400	L21018
d1402	L21019
d1403	L21020
d1404	L21021
d1405	L21022
d1408	L21023
d1409	L21024
d1411	L21025
d1412	L21026
d1413	L21027
d1414	L21028
d1418	L21029
d1423	L21030
d1436	L21031
d1442	L21032
d1443	L21033
d1445	L21034
d1451	L21035
d1463	L21036
d1464	L21037
d1471	L21038
d1554	L21039
d1556	L21040
d1558	L21041
d1559	L21042
d1560	L21043
d1561	L21044
d1564	L21045
d1566	L21046
d1572	L21047
d1575	L21048
d1579	L21049
d1581	L21050
d1582	L21051
d1585	L21052
d1587	L21053
d1587_sc	L21054
d1588	L21055
d1590	L21056
d1593	L21057
d1596	L21058
d1601	L21059
d1602	L21060
d1606	L21061
d1607	L21062
d1610	L21063
d1613	L21064
d1615	L21065
d1620	L21066
d1621	L21067
d1623	L21068
d1624	L21069
d1626	L21070
d1644	L21071
d1661	L21072
d1663	L21073
d1676	L21074
d1680	L21075
d1681	L21076
d1682	L21077
d1684	L21078
d1685	L21079
d1690	L21080
d1692	L21081
d1693	L21082
d1694	L21083
d1695	L21084
d1700	L21085
d1703	L21086
d1704	L21087
d1708	L21088
d1712	L21089
d1713	L21090
d1714	L21091
d1721	L21092
d1722	L21093
d1724	L21094
d1731	L21095
d1732	L21096
d1733	L21097
d1735	L21098
d1741	L21099
d1744	L21100
d1747	L21101
d1749	L21102
d1750	L21103
d1751	L21104
d1757	L21105
d1764	L21106
d1766	L21107
d1768	L21108
d1769	L21109
d1771	L21110
d1772	L21111
d1777	L21112
d1782	L21113
d1791	L21114
d1792	L21115
d1794	L21116
d1795	L21117
d1796	L21118
d1800	L21119
d1805	L21120
d1806	L21121
d1807	L21122
d1808	L21123
d1810	L21124
d1812	L21125
d1815	L21126
d1817	L21127
d1818	L21128
d1821	L21129
d1831	L21130
d1832	L21131
d1833	L21132
d1834	L21133
d1835	L21134
d1836	L21135
d1839	L21136
d1841	L21137
d1842	L21138
d1843	L21139
d1844	L21140
d1845	L21141
d1846	L21142
d1850	L21143
d1854	L21144
d1855	L21145
d1858	L21146
d1865	L21147
d1866	L21148
d1868	L21149
d1870	L21150
d1872	L21151
d1873	L21152
d1876	L21153
d1879	L21154
d1881	L21155
d1883	L21156
d1884	L21157
d1885	L21158
d1886	L21159
d1887	L21160
d1893	L21161
d1895	L21162
d1898	L21163
d1899	L21164
d1902	L21165
d1903	L21166
d1910	L21167
d1915	L21168
d1920	L21169
d1922	L21170
d1926	L21171
d1931	L21172
d1937	L21173
d1938	L21174
d1939	L21175
d1940	L21176
d1945	L21177
d1946	L21178
d1951	L21179
d1953	L21180
d1954	L21181
d1955	L21182
d1957	L21183
d1961	L21184
d1963	L21185
d1964	L21186
d1965	L21187
d1971	L21188
d1973	L21189
d1981	L21190
d1982	L21191
d1983	L21192
d1985	L21193
d1988	L21194
d1992	L21195
d1997	L21196
d2000	L21197
d2005	L21198
d2007	L21199
d2008	L21200
d2009	L21201
d2010	L21202
d2011	L21203
d2012	L21204
d2022	L21205
d2024	L21206
d2029	L21207
d2039	L21208
d2046	L21209
d2048	L21210
d2053	L21211
d2063	L21212
d2066	L21213
d2067	L21214
d2079	L21215
d2088	L21216
d2102	L21217
d2113	L21218
d2122	L21219
d2124	L21220
d2151	L21221
d2153	L21222
d2156	L21223
d2161	L21224
d2178	L21225
d2179	L21226
d2184	L21227
d2184_sc	L21228
d2188	L21229
d2200	L21230
d2205	L21231
d2224	L21232
d2228	L21233
d2238	L21234
d2262	L21235
d2264	L21236
d2279	L21237
d2285	L21238
d2286	L21239
d2298	L21240
d2302	L21241
d2314	L21242
d2319	L21243
d2376	L21244
d2378	L21245
d2389	L21246
d2389_sc	L21247
d2400	L21248
d2427	L21249
d2428	L21250
d2431	L21251
d7012	L21252
d7013	L21253
d7315	L21254
d8008	L21255
d8009	L21256
d8515	L21257
d9262	L21258
d9295	L21259
d9322	L21260
d9462	L21261
d9508	L21262
d9510	L21263
d9646	L21264
d9761	L21265
d9772	L21266
d9874	L21267
d9875	L21268
d9892	L21269
e0006	L21270
e0008	L21271
e0009	L21272
e0016	L21273
e0023	L21274
e0075	L21275
e0076	L21276
e0081	L21277
e0084	L21278
e0085	L21279
e0086	L21280
e0090	L21281
e0094	L21282
e0095	L21283
e0097	L21284
e0098	L21285
e0099	L21286
e0100	L21287
e0101	L21288
e0101_sc	L21289
e0105	L21290
e0106	L21291
e0109	L21292
e0111	L21293
e0112	L21294
e0118	L21295
e0121	L21296
e0123	L21297
e0124	L21298
e0125	L21299
e0125	L21299
e0127	L21300
e0130	L21301
e0130_sc	L21302
e0132	L21303
e0139	L21304
e0140	L21305
e0142	L21306
e0145	L21307
e0147	L21308
e0148	L21309
e0152	L21310
e0154	L21311
e0156	L21312
e0157	L21313
e0158	L21314
e0159	L21315
e0159_sc	L21316
e0160	L21317
e0160_sc	L21318
e0165	L21319
e0166	L21320
e0167	L21321
e0168	L21322
e0175	L21323
e0176	L21324
e0177	L21325
e0178	L21326
e0180	L21327
e0182	L21328
e0185	L21329
e0186	L21330
e0188	L21331
e0191	L21332
e0192	L21333
e0193	L21334
e0195	L21335
e0200	L21336
e0201	L21337
e0202	L21338
e0204	L21339
e0207	L21340
e0209	L21341
e0210	L21342
e0216	L21343
e0221	L21344
e0225	L21345
e0231	L21346
e0232	L21347
e0237	L21348
e0242	L21349
e0244	L21350
e0246	L21351
e0249	L21352
e0254	L21353
e0256	L21354
e0258	L21355
e0259	L21356
e0260	L21357
e0266	L21358
e0267	L21359
e0268	L21360
e0269	L21361
e0276	L21362
e0292	L21363
e0299	L21364
e0316	L21365
e0318	L21366
e0319	L21367
e0320	L21368
e0321	L21369
e0324	L21370
e0325	L21371
e0326	L21372
e0327	L21373
e0330	L21374
e0331	L21375
e0333	L21376
e0334	L21377
e0338	L21378
e0345	L21379
e0350	L21380
e0355	L21381
e0357	L21382
e0358	L21383
e0360	L21384
e0363	L21385
e0363_sc	L21386
e0364	L21387
e0366	L21388
e0368	L21389
e0369	L21390
e0371	L21391
e0372	L21392
e0373	L21393
e0376	L21394
e0378	L21395
e0380	L21396
e0383	L21397
e0387	L21398
e0388	L21399
e0389	L21400
e0391	L21401
e0392	L21402
e0394	L21403
e0398	L21404
e0399	L21405
e0400	L21406
e0401	L21407
e0404	L21408
e0406	L21409
e0408	L21410
e0409	L21411
e0433	L21412
e0434	L21413
e0442	L21414
e0443	L21415
e0445	L21416
e0447	L21417
e0448	L21418
e0449	L21419
e0450	L21420
e0453	L21421
e0454	L21422
e0457	L21423
e0459	L21424
e0461	L21425
e0463	L21426
e0465	L21427
e0469	L21428
e0475	L21429
e0476	L21430
e0477	L21431
e0479	L21432
e0480	L21433
e0481	L21434
e0483	L21435
e0484	L21436
e0485	L21437
e0486	L21438
e0489	L21439
e0490	L21440
e0494	L21441
e0506	L21442
e0521	L21443
e0525	L21444
e0528	L21445
e0529	L21446
e0531	L21447
e0535	L21448
e0536	L21449
e0537	L21450
e0538	L21451
e0541	L21452
e0553	L21453
e0554	L21454
e0557	L21455
e0558	L21456
e0560	L21457
e0587	L21458
e0595	L21459
e0595_sc	L21460
e0596	L21461
e0609	L21462
e0613	L21463
e0617	L21464
e0619	L21465
e0640	L21466
e0641	L21467
e0643	L21468
e0644	L21469
e0646	L21470
e0647	L21471
e0651	L21472
e0653	L21473
e0655	L21474
e0660	L21475
e0661	L21476
e0663	L21477
e0664	L21478
e0666	L21479
e0668	L21480
e0681	L21481
e0717	L21482
e0790	L21483
e0809	L21484
e0817	L21485
e0829	L21486
e0838	L21487
e0841	L21488
e0846	L21489
e0847	L21490
e0851	L21491
e0854	L21492
e0859	L21493
e0861	L21494
e0884	L21495
e0892	L21496
e0899	L21497
e0902	L21498
e0907	L21499
e0908	L21500
e0925	L21501
e0929	L21502
e0929_sc	L21503
e0932	L21504
e0933	L21505
e0934	L21506
e0936	L21507
e0943	L21508
e0944	L21509
e0946	L21510
e0948	L21511
e0949	L21512
e0950	L21513
e0971	L21514
e0978	L21515
e0982	L21516
e0983	L21517
e0993	L21518
e1019	L21519
e1020	L21520
e1023	L21521
e1024	L21522
e1025	L21523
e1027	L21524
e1028	L21525
e1029	L21526
e1035	L21527
e1036	L21528
e1039	L21529
e1041	L21530
e1053	L21531
e1054	L21532
e1055	L21533
e1056	L21534
e1057	L21535
e1058	L21536
e1059	L21537
e1060	L21538
e1063	L21539
e1067	L21540
e1069	L21541
e1072	L21542
e1073	L21543
e1084	L21544
e1088	L21545
e1089	L21546
e1091	L21547
e1092	L21548
e1093	L21549
e1094	L21550
e1095	L21551
e1097	L21552
e1098	L21553
e1099	L21554
e1102	L21555
e1110	L21556
e1111	L21557
e1117	L21558
e1119	L21559
e1120	L21560
e1123	L21561
e1124	L21562
e1163	L21563
e1168	L21564
e1169	L21565
e1172	L21566
e1174	L21567
e1175	L21568
e1176	L21569
e1181	L21570
e1186	L21571
e1188	L21572
e1191	L21573
e1194	L21574
e1197	L21575
e1200	L21576
e1201	L21577
e1203	L21578
e1207	L21579
e1210	L21580
e1211	L21581
e1217	L21582
e1218	L21583
e1219	L21584
e1221	L21585
e1223	L21586
e1229	L21587
e1231	L21588
e1232	L21589
e1234	L21590
e1237	L21591
e1239	L21592
e1240	L21593
e1240_sc	L21594
e1242	L21595
e1243	L21596
e1247	L21597
e1250	L21598
e1254	L21599
e1256	L21600
e1259	L21601
e1261	L21602
e1263	L21603
e1264	L21604
e1266	L21605
e1269	L21606
e1270	L21607
e1273	L21608
e1274	L21609
e1275	L21610
e1278	L21611
e1279	L21612
e1280	L21613
e1281	L21614
e1282	L21615
e1284	L21616
e1286	L21617
e1287	L21618
e1288	L21619
e1295	L21620
e1299	L21621
e1300	L21622
e1301	L21623
e1307	L21624
e1308	L21625
e1309	L21626
e1311	L21627
e1322	L21628
e1326	L21629
e1327	L21630
e1328	L21631
e1329	L21632
e1333	L21633
e1346	L21634
e1348	L21635
e1349	L21636
e1350	L21637
e1352	L21638
e1354	L21639
e1355	L21640
e1360	L21641
e1361	L21642
e1362	L21643
e1365	L21644
e1366	L21645
e1368	L21646
e1369	L21647
e1370	L21648
e1371	L21649
e1375	L21650
e1384	L21651
e1385	L21652
e1387	L21653
e1389	L21654
e1391	L21655
e1392	L21656
e1396	L21657
e1406	L21658
e1410	L21659
e1411	L21660
e1416	L21661
e1427	L21662
e1432	L21663
e1433	L21664
e1434	L21665
e1443	L21666
e1447	L21667
e1448	L21668
e1450	L21669
e1452	L21670
e1453	L21671
e1455	L21672
e1457	L21673
e1458	L21674
e1460	L21675
e1462	L21676
e1465	L21677
e1466	L21678
e1468	L21679
e1473	L21680
e1475	L21681
e1476	L21682
e1476_sc	L21683
e1483	L21684
e1484	L21685
e1486	L21686
e1487	L21687
e1497	L21688
e1498	L21689
e1502	L21690
e1506	L21691
e1512	L21692
e1514	L21693
e1516	L21694
e1517	L21695
e1521	L21696
e1526	L21697
e1531	L21698
e1533	L21699
e1535	L21700
e1547	L21701
e1549	L21702
e1551	L21703
e1553	L21704
e1556	L21705
e1560	L21706
e1561	L21707
e1566	L21708
e1566_sc	L21709
e1569	L21710
e1570	L21711
e1571	L21712
e1572	L21713
e1573	L21714
e1577	L21715
e1579	L21716
e1581	L21717
e1582	L21718
e1582_sc	L21719
e1584	L21720
e1588	L21721
e1591	L21722
e1592	L21723
e1593	L21724
e1594	L21725
e1595	L21726
e1596	L21727
e1597	L21728
e1598	L21729
e1600	L21730
e1601	L21731
e1604	L21732
e1609	L21733
e1612	L21734
e1620	L21735
e1621	L21736
e1622	L21737
e1623	L21738
e1624	L21739
e1630	L21740
e1631	L21741
e1633	L21742
e1641	L21743
e1642	L21744
e1647	L21745
e1649	L21746
e1652	L21747
e1653	L21748
e1654	L21749
e1656	L21750
e1657	L21751
e1664	L21752
e1668	L21753
e1675	L21754
e1676	L21755
e1677	L21756
e1678	L21757
e1679	L21758
e1680	L21759
e1688	L21760
e1691	L21761
e1694	L21762
e1698	L21763
e1700	L21764
e1701	L21765
e1702	L21766
e1703	L21767
e1708	L21768
e1709	L21769
e1712	L21770
e1713	L21771
e1714	L21772
e1717	L21773
e1718	L21774
e1719	L21775
e1724	L21776
e1725	L21777
e1726	L21778
e1729	L21779
e1736	L21780
e1745	L21781
e1746	L21782
e1747	L21783
e1748	L21784
e1749	L21785
e1750	L21786
e1752	L21787
e1753	L21788
e1754	L21789
e1755	L21790
e1756	L21791
e1757	L21792
e1759	L21793
e1762	L21794
e1763	L21795
e1764	L21796
e1766	L21797
e1771	L21798
e1772	L21799
e1774	L21800
e1775	L21801
e1778	L21802
e1780	L21803
e1781	L21804
e1782	L21805
e1784	L21806
e1785	L21807
e1787	L21808
e1791	L21809
e1794	L21810
e1795	L21811
e1799	L21812
e1801	L21813
e1804	L21814
e1805	L21815
e1806	L21816
e1812	L21817
e1814	L21818
e1819	L21819
e1820	L21820
e1821	L21821
e1822	L21822
e1825	L21823
e1827	L21824
e1834	L21825
e1840	L21826
e1843	L21827
e1845	L21828
e1846	L21829
e1852	L21830
e1855	L21831
e1857	L21832
e1859	L21833
e1861	L21834
e1862	L21835
e1864	L21836
e1865	L21837
e1866	L21838
e1866_sc	L21839
e1867	L21840
e1868	L21841
e1873	L21842
e1875	L21843
e1879	L21844
e1885	L21845
e1888	L21846
e1890	L21847
e1892	L21848
e1894	L21849
e1894_sc	L21850
e1896	L21851
e1897	L21852
e1898	L21853
e1899	L21854
e1901	L21855
e1903	L21856
e1909	L21857
e1910	L21858
e1911	L21859
e1913	L21860
e1914	L21861
e1916	L21862
e1917	L21863
e1918	L21864
e1919	L21865
e1932	L21866
e1937	L21867
e1939	L21868
e1940	L21869
e1943	L21870
e1944	L21871
e1950	L21872
e1951	L21873
e8172	L21874
e8275	L21875
e8302	L21876
e8392	L21877
e8545	L21878
e8830	L21879
e9124	L21880
e9178	L21881
e9236	L21882
e9237	L21883
e9238	L21884
e9409	L21885
e9585	L21886
e9808	L21887
f0021	L21888
f0026	L21889
f0032	L21890
f0037	L21891
f0040	L21892
f0041	L21893
f0048	L21894
f0057	L21895
f0058	L21896
f0086	L21897
f0116	L21898
f0127	L21899
f0144	L21900
f0149	L21901
f0154	L21902
f0161	L21903
f0164	L21904
f0180	L21905
f0186	L21906
f0192	L21907
f0193	L21908
f0203	L21909
f0231	L21910
f0234	L21911
f0240	L21912
f0246	L21913
f0251	L21914
f0260	L21915
f0264	L21916
f0266	L21917
f0270	L21918
f0271	L21919
f0274	L21920
f0279	L21921
f0303	L21922
f0305	L21923
f0311	L21924
f0318	L21925
f0323	L21926
f0326	L21927
f0337	L21928
f0339	L21929
f0348	L21930
f0353	L21931
f0358	L21932
f0370	L21933
f0372	L21934
f0373	L21935
f0377	L21936
f0378	L21937
f0382	L21938
f0384	L21939
f0406	L21940
f0413	L21941
f0414	L21942
f0433	L21943
f0439	L21944
f0442	L21945
f0448	L21946
f0450	L21947
f0463	L21948
f0498	L21949
f0502	L21950
f0506	L21951
f0512	L21952
f0516	L21953
f0524	L21954
f0546	L21955
f0548	L21956
f0549	L21957
f0556	L21958
f0557	L21959
f0563	L21960
f0569	L21961
f0572	L21962
f0584	L21963
f0585	L21964
f0590	L21965
f0596	L21966
f0596_sc	L21967
f0601	L21968
f0608	L21969
f0613	L21970
f0638	L21971
f0639	L21972
f0644	L21973
f0651	L21974
f0655	L21975
f0655_sc	L21976
f0660	L21977
f0662	L21978
f0673	L21979
f0678	L21980
f0679	L21981
f0685	L21982
f0716	L21983
f0719	L21984
f0721	L21985
f0723	L21986
f0730	L21987
f0730_sc	L21988
f0743	L21989
f0751	L21990
f0752	L21991
f0756	L21992
f0758	L21993
f0759	L21994
f0762	L21995
f0765	L21996
f0766	L21997
f0781	L21998
f0782	L21999
f0793	L22000
f0802	L22001
f0820	L22002
f0828	L22003
f0844	L22004
f0851	L22005
f0857	L22006
f0859	L22007
f0876	L22008
f0879	L22009
f0884	L22010
f0887	L22011
f0898	L22012
f0906	L22013
f0913	L22014
f0915	L22015
f0915_sc	L22016
f0917	L22017
f0923	L22018
f0931	L22019
f0933	L22020
f0935	L22021
f0944	L22022
f0952	L22023
f0959	L22024
f0962	L22025
f0965	L22026
f0967	L22027
f0976	L22028
f0977	L22029
f0988	L22030
f0992	L22031
f0993	L22032
f0994	L22033
f0994_sc	L22034
f0995	L22035
f1002	L22036
f1006	L22037
f1010	L22038
f1012	L22039
f1015	L22040
f1018	L22041
f1024	L22042
f1024_sc	L22043
f1034	L22044
f1039	L22045
f1056	L22046
f1057	L22047
f1059	L22048
f1060	L22049
f1071	L22050
f1079	L22051
f1080	L22052
f1086	L22053
f1096	L26630
f1100	L22054
f1103	L22055
f1106	L22056
f1109	L22057
f1109_sc	L22058
f1118	L22059
f1125	L22060
f1127	L22061
f1135	L22062
f1146	L22063
f1150	L22064
f1154	L22065
f1155	L22066
f1173	L22067
f1176	L22068
f1177	L22069
f1184	L22070
f1187	L22071
f1188	L22072
f1203	L22073
f1221	L22074
f1222	L22075
f1228	L22076
f1230	L22077
f1245	L22078
f1255	L22079
f1260	L22080
f1262	L22081
f1265	L22082
f1270	L22083
f1271	L22084
f1302	L22085
f9010	L22086
f9045	L22087
