lexeme	lila_lemma	wikibase_entry
a1486	L19008
a1493	L19009
a1495	L19010
a1499	L19011
a1508	L19012
a1527	L19013
a1533	L19014
a1537	L19015
a1552	L19016
a1570	L19017
a1571	L19018
a1576	L19019
a1578	L19020
a1579	L19021
a1585	L19022
a1586	L19023
a1590	L19024
a1600	L19025
a1612	L19026
a1622	L19027
a1626	L19028
a1650	L19029
a1653	L19030
a1679	L19031
a1682	L19032
a1684	L19033
a1688	L19034
a1692	L19035
a1694	L19036
a1705	L19037
a1709	L19038
a1712	L19039
a1723	L19040
a1724	L19041
a1752	L19042
a1762	L19043
a1766	L19044
a1772	L19045
a1774	L19046
a1777	L19047
a1781	L19048
a1786	L19049
a1792	L19050
a1812	L19051
a1874	L19052
a1875	L19053
a1878	L19054
a1895	L19055
a1896	L19056
a1899	L19057
a1919	L19058
a1925	L19059
a1944	L19060
a1951	L19061
a1957	L19062
a1957_sc	L19063
a1971	L19064
a1983	L19065
a2002	L19066
a2009	L19067
a2015	L19068
a2026	L19069
a2041	L19070
a2059	L19071
a2062	L19072
a2065	L19073
a2071	L19074
a2090	L19075
a2112	L19076
a2117	L19077
a2118	L19078
a2124	L19079
a2128	L19080
a2134	L19081
a2135	L19082
a2141	L19083
a2150	L19084
a2157	L19085
a2164	L19086
a2165	L19087
a2176	L19088
a2177	L19089
a2180	L19090
a2183	L19091
a2184	L19092
a2185	L19093
a2225	L19094
a2252	L19095
a2261	L19096
a2270	L19097
a2278	L19098
a2285	L19099
a2299	L19100
a2302	L19101
a2303	L19102
a2317	L19103
a2322	L19104
a2327	L19105
a2364	L19106
a2365	L19107
a2384	L19108
a2395	L19109
a2404	L19110
a2412	L19111
a2417	L19112
a2418	L19113
a2428	L19114
a2439	L19115
a2442	L19116
a2453	L19117
a2460	L19118
a2468	L19119
a2469	L19120
a2473	L19121
a2474	L19122
a2476	L19123
a2480	L19124
a2481	L19125
a2482	L19126
a2485	L19127
a2488	L19128
a2491	L19129
a2494	L19130
a2498	L19131
a2500	L19132
a2501	L19133
a2504	L19134
a2508	L19135
a2510	L19136
a2512	L19137
a2513	L19138
a2516	L19139
a2517	L19140
a2520	L19141
a2522	L19142
a2523	L19143
a2526	L19144
a2527	L19145
a2528	L19146
a2535	L19147
a2538	L19148
a2539	L19149
a2540	L19150
a2542	L19151
a2543	L19152
a2545	L19153
a2546	L19154
a2547	L19155
a2548	L19156
a2553	L19157
a2575	L19158
a2622	L19159
a2658	L19160
a2662	L19161
a2669	L19162
a2683	L19163
a2688	L19164
a2724	L19165
a2727	L19166
a2763	L19167
a2767	L19168
a2773	L19169
a2778	L19171
a2778_sc	L19172
a2806	L19173
a2809	L19174
a2816	L19175
a2834	L19176
a2888	L19177
a2895	L19178
a2901	L19179
a2912	L19180
a2918	L19181
a2919	L19182
a2920	L19183
a2921	L19184
a2924	L19185
a2928	L19186
a2929	L19187
a2956	L19188
a2967	L19189
a2971	L19190
a2978	L19191
a2980	L19192
a3003	L19193
a3016	L19194
a3021	L19195
a3027	L19196
a3028	L19197
a3034	L19198
a3068	L19199
a3070	L19200
a3075	L19201
a3083	L19202
a3084	L19203
a3091	L19204
a3096	L19205
a3101	L19206
a3107	L19207
a3110	L19208
a3116	L19209
a3123	L19210
a3124	L19211
a3134	L19212
a3135	L19213
a3137	L19214
a3140	L19215
a3141	L19216
a3145	L19217
a3147	L19218
a3154	L19219
a3155	L19220
a3156	L19221
a3157	L19222
a3159	L19223
a3160	L19224
a3162	L19225
a3168	L19226
a3169	L19227
a3170	L19228
a3171	L19229
a3175	L19230
a3177	L19231
a3183	L19232
a3184	L19233
a3186	L19234
a3187	L19235
a3188	L19236
a3190	L19237
a3191	L19238
a3192	L19239
a3193	L19240
a3194	L19241
a3196	L19242
a3201	L19243
a3203	L19244
a3204	L19245
a3209	L19246
a3210	L19247
a3212	L19248
a3213	L19249
a3229	L19250
a3237	L19251
a3238	L19252
a3239	L19253
a3247	L19254
a3249	L19255
a3253	L19256
a3255	L19257
a3259	L19258
a3276	L19259
a3280	L19260
a3329	L19261
a3334	L19262
a3337	L19263
a3339	L19265
a3344	L19266
a3345	L19267
a3346	L19268
a3351	L19269
a3352	L19270
a3355	L19271
a3358	L19272
a3361	L19273
a3362	L19274
a3363	L19275
a3365	L19276
a3366	L19277
a3368	L19278
a3369	L19279
a3370	L19280
a3372	L19281
a3373	L19282
a3376	L19283
a3378	L19299
a3379	L19286
a3380	L19287
a3381	L19288
a3385	L19289
a3386	L19290
a3388	L19291
a3389	L19292
a3400	L19293
a3406	L19294
a3412	L19295
a3413	L19296
a3416	L19297
a3423	L19304
a3432	L19305
a3437	L19306
a3440	L19307
a3443	L19308
a3448	L19309
a3450	L19310
a3451	L19311
a3455	L19312
a3456	L19313
a3457	L19314
a3463	L19315
a3465	L19316
a3468	L19317
a3469	L19318
a3470	L19319
a3471	L19320
a3472	L19321
a3478	L19322
a3490	L19323
a3491	L19324
a3497	L19325
a3525	L19326
a3527	L19327
a3540	L19328
a3566	L19329
a3574	L19330
a3577	L19331
a3577_sc	L19332
a3580	L19333
a3588	L19334
a3593	L19335
a3624	L19336
a3627	L19337
a3630	L19338
a3642	L19339
a3657	L19340
a3715	L19341
a6471	L19343
a7005	L19344
a7061	L19345
a7118	L19346
a7990	L19347
a8068	L19348
a8138	L19349
a8662	L19350
a9041	L19351
a9053	L19352
a9091	L19353
a9270	L19354
a9271	L19355
a9311	L19356
a9959	L19357
a9961	L19358
a9962	L19359
a9967	L19360
b0022	L19361
b0029	L19362
b0037	L19363
b0046	L19364
b0057	L19365
b0058	L19366
b0061	L19367
b0074	L19368
b0086	L19369
b0094	L19370
b0112	L19371
b0119	L19372
b0126	L19373
b0128	L19374
b0132	L19375
b0146	L19376
b0168	L19377
b0179	L19378
b0191	L19379
b0193	L19380
b0203	L19381
b0209	L19382
b0231	L19383
b0234	L19384
b0241	L19385
b0276	L19386
b0278	L19387
b0290	L19388
b0311	L19389
b0367	L19390
b0402	L19391
b0436	L19392
b0440	L19393
b0449	L19394
b0462	L19395
b0473	L19396
b0477	L19397
b0479	L19398
b0513	L19399
b0514	L19400
b0515	L19401
b0519	L19402
b0539	L19403
b0550	L19404
b0575	L19405
b0598	L19406
b0629	L19407
b0653	L19408
b0662	L19409
b0669	L19410
b0672	L19411
b0696	L19412
b0726	L19413
b0730	L19414
b0731	L19415
b0733	L19416
b0765	L19417
b0775	L19418
b0793	L19419
b9075	L19420
b9256	L19421
b9257	L19422
b9270	L19424
b9515	L19425
c0005	L19426
c0012	L19427
c0017	L19428
c0029	L19429
c0035	L19430
c0036	L19431
c0048	L19432
c0051	L19433
c0055	L19434
c0061	L19435
c0078	L19436
c0079	L19437
c0081	L19438
c0083	L19439
c0104	L19440
c0108	L19441
c0122	L19442
c0142	L19443
c0151	L19444
c0155	L19445
c0193	L19446
c0200	L19447
c0203	L19448
c0209	L19449
c0214	L19450
c0218	L19452
c0222	L19453
c0227	L19454
c0230	L19455
c0237	L19456
c0240	L19457
c0250	L19458
c0271	L19459
c0272	L19460
c0283	L19461
c0289	L19462
c0289_sc	L19463
c0296	L19464
c0298	L19465
c0299	L19466
c0310	L19467
c0311	L19468
c0324	L19469
c0335	L19470
c0344	L19471
c0372	L19472
c0376	L19473
c0376_sc	L19474
c0381	L19475
c0386	L19477
c0388	L19478
c0392	L19479
c0395	L19480
c0400	L19481
c0400_sc	L19482
c0405	L19483
c0428	L19484
c0432	L19485
c0462	L19486
c0464	L19487
c0466	L19488
c0470	L19489
c0481	L19490
c0484	L19491
c0485	L19492
c0492	L19493
c0500	L19494
c0505	L19495
c0545	L19496
c0552	L19497
c0573	L19498
c0580	L19499
c0582	L19500
c0589	L19501
c0601	L19502
c0604	L19503
c0612	L19504
c0627	L19505
c0637	L19506
c0646	L19507
c0660	L19508
c0675	L19509
c0680	L19510
c0698	L19511
c0705	L19512
c0747	L19513
c0757	L19514
c0758	L19515
c0770	L19516
c0776	L19517
c0796	L19518
c0816	L19519
c0836	L19520
c0864	L19521
c0877	L19522
c0898	L19523
c0905	L19524
c0910	L19525
c0921	L19527
c0943	L19528
c0948	L19529
c0949	L19530
c0954	L19531
c0966	L19532
c0980	L19533
c0987	L19534
c0993	L19535
c1007	L19536
c1009	L19537
c1012	L19538
c1017	L19539
c1019	L19540
c1031	L19541
c1048	L19542
c1049	L19543
c1059	L19544
c1078	L19545
c1101	L19546
c1102	L19547
c1107	L19548
c1108	L19549
c1119	L19550
c1133	L19551
c1135	L19552
c1163	L19553
c1169	L19554
c1235	L19555
c1244	L19556
c1245	L19557
c1246	L19558
c1248	L19559
c1250	L19560
c1269	L19561
c1270	L19562
c1271	L19563
c1271_sc	L19564
c1274	L19565
c1303	L19566
c1320	L19567
c1390	L19568
c1395	L19569
c1411	L19570
c1430	L19571
c1511	L19572
c1512	L19573
c1535	L19574
c1574	L19575
c1579	L19576
c1599	L19577
c1604	L19578
c1613	L19579
c1625	L19580
c1645	L19581
c1651	L19582
c1677	L19583
c1682	L19584
c1686	L19585
c1693	L19586
c1697	L19587
c1698	L19588
c1699	L19589
c1700	L19590
c1701	L19591
c1702	L19592
c1703	L19593
c1704	L19594
c1705	L19595
c1707	L19596
c1708	L19597
c1712	L19598
c1714	L19599
c1719	L19600
c1724	L19601
c1725	L19602
c1727	L19603
c1729	L19604
c1730	L19605
c1732	L19606
c1734	L19607
c1735	L19608
c1736	L19609
c1737	L19610
c1741	L19611
c1742	L19612
c1743	L19613
c1744	L19614
c1745	L19615
c1746	L19616
c1747	L19617
c1748	L19618
c1749	L19619
c1750	L19620
c1753	L19621
c1754	L19622
c1756	L19623
c1758	L19624
c1762	L19625
c1763	L19626
c1764	L19627
c1765	L19628
c1768	L19629
c1769	L19630
c1771	L19631
c1772	L19632
c1773	L19633
c1774	L19634
c1777	L19635
c1778	L19636
c1781	L19637
c1782	L19638
c1785	L19639
c1786	L19640
c1787	L19641
c1792	L19642
c1794	L19643
c1795	L19644
c1797	L19645
c1798	L19646
c1802	L19647
c1803	L19648
c1804	L19649
c1805	L19650
c1808	L19651
c1809	L19652
c1810	L19653
c1811	L19654
c1812	L19655
c1813	L19656
c1814	L19657
c1815	L19658
c1819	L19659
c1820	L19660
c1821	L19661
c1822	L19662
c1823	L19663
c1826	L19664
c1828	L19665
c1831	L19666
c1832	L19667
c1833	L19668
c1834	L19669
c1835	L19670
c1838	L19671
c1839	L19672
c1840	L19673
c1842	L19674
c1844	L19675
c1845	L19676
c1846	L19677
c1847	L19678
c1848	L19679
c1849	L19680
c1850	L19681
c1851	L19682
c1853	L19683
c1854	L19684
c1855	L19685
c1856	L19686
c1859	L19687
c1861	L19688
c1862	L19689
c1863	L19690
c1865	L19691
c1866	L19692
c1867	L19693
c1869	L19694
c1870	L19695
c1875	L19696
c1877	L19697
c1878	L19698
c1879	L19699
c1880	L19700
c1881	L19701
c1883	L19702
c1888	L19703
c1890	L19704
c1891	L19705
c1892	L19706
c1893	L19707
c1894	L19708
c1896	L19709
c1897	L19710
c1898	L19711
c1899	L19712
c1900	L19713
c1901	L19714
c1903	L19715
c1904	L19716
c1905	L19717
c1907	L19718
c1908	L19719
