prf.act.sbjv.1.sg	Q71820
prf.act.sbjv.2.sg	Q71821
prf.act.sbjv.3.sg	Q71822
prf.act.sbjv.1.pl	Q71823
prf.act.sbjv.2.pl	Q71824
prf.act.sbjv.3.pl	Q71825
prf.pass.ptcp.nom.m.sg	Q71826
prf.pass.ptcp.nom.f.sg	Q71827
prf.pass.ptcp.nom.n.sg	Q71828
prf.pass.ptcp.nom.m.pl	Q71829
prf.pass.ptcp.nom.f.pl	Q71830
prf.pass.ptcp.nom.n.pl	Q71831
prf.pass.ptcp.gen.m.sg	Q71832
prf.pass.ptcp.gen.f.sg	Q71833
prf.pass.ptcp.gen.n.sg	Q71834
prf.pass.ptcp.gen.m.pl	Q71835
prf.pass.ptcp.gen.f.pl	Q71836
prf.pass.ptcp.gen.n.pl	Q71837
prf.pass.ptcp.dat.m.sg	Q71838
prf.pass.ptcp.dat.f.sg	Q71839
prf.pass.ptcp.dat.n.sg	Q71840
prf.pass.ptcp.dat.m.pl	Q71841
prf.pass.ptcp.dat.f.pl	Q71842
prf.pass.ptcp.dat.n.pl	Q71843
prf.pass.ptcp.acc.m.sg	Q71844
prf.pass.ptcp.acc.f.sg	Q71845
prf.pass.ptcp.acc.n.sg	Q71846
prf.pass.ptcp.acc.m.pl	Q71847
prf.pass.ptcp.acc.f.pl	Q71848
prf.pass.ptcp.acc.n.pl	Q71849
prf.pass.ptcp.abl.m.sg	Q71850
prf.pass.ptcp.abl.f.sg	Q71851
prf.pass.ptcp.abl.n.sg	Q71852
prf.pass.ptcp.abl.m.pl	Q71853
prf.pass.ptcp.abl.f.pl	Q71854
prf.pass.ptcp.abl.n.pl	Q71855
prf.pass.ptcp.voc.m.sg	Q71856
prf.pass.ptcp.voc.f.sg	Q71857
prf.pass.ptcp.voc.n.sg	Q71858
prf.pass.ptcp.voc.m.pl	Q71859
prf.pass.ptcp.voc.f.pl	Q71860
prf.pass.ptcp.voc.n.pl	Q71861
pprf.act.ind.1.sg	Q71862
pprf.act.ind.2.sg	Q71863
pprf.act.ind.3.sg	Q71864
pprf.act.ind.1.pl	Q71865
pprf.act.ind.2.pl	Q71866
pprf.act.ind.3.pl	Q71867
pprf.act.sbjv.1.sg	Q71868
pprf.act.sbjv.2.sg	Q71869
pprf.act.sbjv.3.sg	Q71870
pprf.act.sbjv.1.pl	Q71871
pprf.act.sbjv.2.pl	Q71872
pprf.act.sbjv.3.pl	Q71873
fprf.act.ind.1.sg	Q71874
fprf.act.ind.2.sg	Q71875
fprf.act.ind.3.sg	Q71876
fprf.act.ind.1.pl	Q71877
fprf.act.ind.2.pl	Q71878
fprf.act.ind.3.pl	Q71879
ger.gen	Q71880
ger.dat	Q71881
ger.acc	Q71882
ger.abl	Q71883
gdv.nom.m.sg	Q71884
gdv.nom.f.sg	Q71885
gdv.nom.n.sg	Q71886
gdv.nom.m.pl	Q71887
gdv.nom.f.pl	Q71888
gdv.nom.n.pl	Q71889
gdv.gen.m.sg	Q71890
gdv.gen.f.sg	Q71891
gdv.gen.n.sg	Q71892
gdv.gen.m.pl	Q71893
gdv.gen.f.pl	Q71894
gdv.gen.n.pl	Q71895
gdv.dat.m.sg	Q71896
gdv.dat.f.sg	Q71897
gdv.dat.n.sg	Q71898
gdv.dat.m.pl	Q71899
gdv.dat.f.pl	Q71900
gdv.dat.n.pl	Q71901
gdv.acc.m.sg	Q71902
gdv.acc.f.sg	Q71903
gdv.acc.n.sg	Q71904
gdv.acc.m.pl	Q71905
gdv.acc.f.pl	Q71906
gdv.acc.n.pl	Q71907
gdv.abl.m.sg	Q71908
gdv.abl.f.sg	Q71909
gdv.abl.n.sg	Q71910
gdv.abl.m.pl	Q71911
gdv.abl.f.pl	Q71912
gdv.abl.n.pl	Q71913
gdv.voc.m.sg	Q71914
gdv.voc.f.sg	Q71915
gdv.voc.n.sg	Q71916
gdv.voc.m.pl	Q71917
gdv.voc.f.pl	Q71918
gdv.voc.n.pl	Q71919
sup.acc	Q71920
sup.abl	Q71921
