token,linked_form
Q18320,L25938-F1
Q59286,L25938-F4
Q14203,L21001-F2
Q37516,L24911-F4
Q15972,L22721-F110
Q56767,L25938-F7
Q47643,L25938-F4
Q6345,L19810-F283
Q56615,L25103-F93
Q52218,L24334-F166
Q9697,L20346-F4
Q13282,L21001-F110
Q61789,L25938-F1
Q14214,L21001-F110
Q52686,L24268-F5
Q46112,L22721-F2
Q51937,L26516-F55
Q7997,L20212-F348
Q33086,L22721-F122
Q58029,L25938-F18
Q63681,L25938-F77
Q12943,L21001-F122
Q59745,L25938-F109
Q12807,L21001-F110
Q63681,L25939-F149
Q45241,L26204-F329
Q18961,L23396-F4
Q39774,L25938-F4
Q38287,L23334-F4
Q13744,L21001-F8
Q66139,L25938-F1
Q22012,L25938-F4
Q7991,L20212-F348
Q14199,L21001-F10
Q36868,L25089-F533
Q12798,L21001-F110
Q25219,L25392-F10
Q56932,L26554-F80
Q65223,L24765-F13
Q34027,L22721-F2
Q38319,L24268-F7
Q22000,L25938-F4
Q63893,L26554-F636
Q67353,L21894-F4
Q10533,L20425-F187
Q42584,L25938-F7
Q53619,L25938-F7
Q58826,L24255-F7
Q50280,L21825-F4
Q16914,L25938-F108
Q55148,L25115-F213
Q4345,L19288-F8
Q32593,L22888-F55
Q34970,L25486-F213
Q71402,L25938-F30
Q56200,L22366-F7
Q54109,L23433-F470
Q68450,L24847-F181
Q65280,L25713-F194
Q53478,L25707-F159
Q44482,L25938-F4
Q1116,L18707-F1
Q64060,L25938-F7
Q11057,L20530-F177
Q57049,L22219-F7
Q39254,L25938-F4
Q11057,L20530-F253
Q27544,L25938-F24
Q54345,L26577-F64
Q12768,L21001-F8
Q58756,L25938-F4
Q23098,L21143-F293
Q62729,L22888-F55
Q69047,L23334-F58
Q60475,L23334-F27
Q22239,L23334-F18
Q46620,L25938-F4
Q37826,L24268-F4
Q21936,L25938-F1
Q14621,L21001-F295
Q26645,L24596-F4
Q11591,L20764-F72
Q12342,L20939-F179
Q33144,L25938-F4
Q26131,L21213-F64
Q12342,L20939-F253
Q63936,L22721-F34
Q56092,L25938-F4
Q62382,L22069-F55
Q66579,L25938-F4
Q13442,L21001-F490
Q3898,L19227-F116
Q65873,L24134-F4
Q51357,L25938-F4
Q14375,L21001-F490
Q4288,L19288-F294
Q64035,L24334-F169
Q61123,L25938-F24
Q10283,L20421-F9
Q35748,L21535-F4
Q70139,L25938-F4
Q59635,L24255-F194
Q16423,L25938-F4
Q7463,L20035-F465
Q49917,L25938-F4
Q50855,L24268-F7
Q32359,L23676-F1
Q65852,L24134-F4
Q65887,L26554-F4
Q29846,L25938-F4
