lexeme_id	label
a1378	alleuo
a1379	alito
a1384	allabor
a1385	allaboro
a1386	allacrimo
a1387	allacto
a1388	allambo
a1390	allatro
a1392	allaudo
a1393	allauo
a1398	allecto
a1403	allego
a1404	allego
a1408	allegorizo
a1414	alleuio
a1415	alleuo
a1416	allicefacio
a1417	allicio
a1418	allido
a1424	alligo
a1425	allinio
a1426	allino
a1428	alliuesco
a1434	alloquor
a1436	allubesco
a1437	alluceo
a1439	alluctor
a1440	alludio
a1441	alludo
a1442	alluo
a1457	alo
a1461	alogior
a1474	alsito
a1476	allicefio
a1486	alterco
a1493	alterno
a1495	altero
a1499	altesco
a1508	altifico
a1527	alto
a1533	anteeo
a1537	alucinor
a1552	alumnor
a1570	amando
a1571	amaneo
a1576	amaresco
a1578	amarico
a1579	amarifico
a1585	amarizo
a1586	amaro
a1590	amasco
a1600	amaturio
a1612	ambedo
a1622	ambigo
a1626	ambio
a1650	ambulo
a1653	amburo
a1679	amicio
a1682	amico
a1684	amictor
a1688	amigro
a1692	amito
a1694	ammento
a1705	amo
a1709	amoeno
a1712	amolior
a1723	amitto
a1724	amoueo
a1752	abolesco
a1762	amplecto
a1766	amplexo
a1772	amplifico
a1774	amplio
a1777	amplo
a1781	amptruo
a1786	ampullor
a1792	amputo
a1812	amylo
a1874	aboriscor
a1875	adoleo
a1878	adhaeresco
a1895	anathematizo
a1896	anathemo
a1899	apiscor
a1919	ancillo
a1925	anclo
a1944	animaduerto
a1951	andruo
a1957	aneo
a1957_sc	anesco
a1971	angario
a1983	ango
a2002	angulo
a2009	angusto
a2015	anhelo
a2026	anilito
a2041	animo
a2059	annihilo
a2062	adnomino
a2065	annono
a2071	annullo
a2090	anquiro
a2112	anteambulo
a2117	antecapio
a2118	antecedo
a2124	antecurro
a2128	antefero
a2134	antegredior
a2135	antehabeo
a2141	anteloquor
a2150	antemitto
a2157	apparesco
a2164	antepolleo
a2165	antepono
a2176	antesto
a2177	antestor
a2180	anteuenio
a2183	anteuerto
a2184	anteuio
a2185	anteuolo
a2225	anticipo
a2252	antiquo
a2261	antispecto
a2270	ardesco
a2278	antonesco
a2285	ascio
a2299	anxior
a2302	abstergo
a2303	anxo
a2317	apello
a2322	aperio
a2327	aperto
a2364	apinor
a2365	apo
a2384	apocho
a2395	apoculo
a2404	apolactizo
a2412	apologo
a2417	apophlegmatizo
a2418	assisto
a2428	aporior
a2439	apostato
a2442	appingo
